,revenue,reach,local_tv,online,instore,person,event
886,29803.96,4,25487.11,1663,3548,12,special
89,43160.98,4,30921.79,1245,3198,15,special
635,26519.6,4,30352.33,848,2797,8,holiday
935,32105.42,3,31576.5,1153,2503,9,cobranding
37,40243.88,2,29924.15,1326,3152,11,cobranding
485,30327.08,4,29357.82,2176,3583,8,special
540,42768.9,4,29578.96,1605,4505,13,special
923,25450.18,3,,2002,1093,7,holiday
194,29872.02,4,30686.71,2151,2857,6,holiday
671,19404.29,6,25598.15,655,3724,10,cobranding
645,39095.28,4,32387.32,1252,2218,12,non_event
405,25921.12,4,29088.14,2095,2088,5,non_event
406,43452.96,4,36146.31,1910,3523,10,cobranding
412,29427.53,4,29076.84,1663,3267,12,non_event
222,44539.87,3,29335.1,1174,3898,13,cobranding
732,30262.56,3,37735.63,1040,1296,11,non_event
77,50268.85,3,34973.29,1396,4820,12,cobranding
817,40099.21,4,31428.68,1272,4450,12,non_event
326,28817.49,6,31104.52,964,3506,11,non_event
877,37867.16,3,31792.56,1313,3394,8,special
32,47201.37,3,33505.75,1452,3965,13,cobranding
709,48320.2,3,29370.29,2768,2739,17,special
791,30735.7,4,27681.76,1136,4068,12,cobranding
657,33777.92,6,30868.88,1786,3906,11,non_event
300,44359.5,5,33490.77,1986,4329,8,special
146,34085.51,3,31693.48,1926,3190,9,non_event
557,43829.56,3,28661.69,1302,2828,15,cobranding
45,48370.64,3,27914.22,1796,3899,11,cobranding
549,41524.22,4,33499.48,2465,3668,14,special
151,29836.81,3,25829.6,1833,4465,10,cobranding
312,52057.54,2,35258.21,1735,3452,12,non_event
319,20234.52,5,28548.15,1650,2249,11,cobranding
893,53600.4,2,38098.83,951,4721,8,holiday
602,23947.23,2,24651.19,1191,2824,9,holiday
82,40483.07,4,32683.53,1376,4442,11,special
860,43713.71,4,31114.84,1734,3691,15,cobranding
424,60415.35,2,37240.8,1697,4082,14,special
455,27880.27,3,22655.21,2072,5195,10,holiday
584,16637.63,3,24749.81,1592,2473,11,special
338,24124.83,4,28532.85,1779,4049,8,cobranding
370,42259.4,4,33730.3,2202,5840,8,cobranding
921,42055.49,5,,1677,4001,15,special
725,31352.42,4,27673.62,1007,4591,12,special
539,41518.59,4,33582.99,2223,4313,6,cobranding
57,45720.5,3,29574.46,1939,2362,14,special
948,54664.36,3,33151.08,2094,4368,16,holiday
506,45826.52,3,34179.91,1884,2974,11,special
242,6874.43,2,23435.82,821,3537,3,non_event
226,31357.78,5,28733.83,1116,4428,9,cobranding
647,39824.02,3,31840.32,1739,2136,14,cobranding
170,41318.22,3,33004.7,1242,4385,8,special
515,39395.97,3,36302.18,1973,4171,9,cobranding
855,43885.88,3,26419.86,1685,3810,16,holiday
241,50357.87,3,32383.78,2387,3120,12,cobranding
382,45615.94,3,33407.27,944,3780,14,special
814,47992.69,2,29858.32,1716,3415,14,special
631,30364.97,3,23448.17,1462,2760,14,cobranding
332,37920.28,4,24193.02,1275,4430,14,cobranding
897,47633.19,4,33214.85,1909,2941,10,holiday
443,45467.61,3,31614.69,1667,3219,11,non_event
533,23067.02,5,31349.49,826,2243,9,cobranding
340,74564.29,3,40208.47,2202,3323,20,cobranding
239,41626.79,4,34630.63,1187,3793,8,non_event
459,40252.7,3,30856.12,1476,2397,9,special
637,37927.93,4,34489.27,926,2771,11,cobranding
819,45789.14,3,34966.53,658,5015,11,cobranding
230,32627.5,4,28945.12,965,2950,9,special
446,47998.39,4,28802.66,1900,2914,17,cobranding
710,44898.68,4,29550.51,1391,2941,17,cobranding
570,50404.82,2,33436.41,1238,4997,8,cobranding
603,37663.28,3,28599.21,2605,1322,13,cobranding
48,33629.74,2,30117.65,1534,3431,12,cobranding
914,39776.62,5,27383.4,1527,2435,15,special
995,46689.11,3,28278.48,961,3335,16,cobranding
97,45491.3,4,,903,3213,13,cobranding
398,39749.84,4,30543.5,2192,3878,11,holiday
211,61443.7,3,36748.08,1570,5399,15,cobranding
31,43026.99,4,38553.64,1580,4248,10,cobranding
568,42231.68,4,31937.1,2165,1992,14,non_event
682,31513.91,5,29061.89,2183,4069,7,cobranding
295,49741.26,2,37600.65,1622,4117,9,special
237,49033.78,4,31658.76,1331,3045,15,holiday
810,15010.45,5,28285.48,1085,2419,5,cobranding
575,14999.06,4,33686.19,1379,1726,5,non_event
722,37833.61,2,31558.63,1210,2397,12,cobranding
309,33690.49,2,32733.85,1460,3257,9,special
36,25322.02,4,29933.23,1147,3689,7,special
636,43929.09,3,30752.12,1575,3601,12,special
413,59823.3,3,39253.79,2055,2629,18,cobranding
244,49113.04,6,32560.78,2050,4674,12,cobranding
762,31373.16,4,,1551,2721,6,cobranding
829,45643.54,4,34057.54,1568,4563,13,cobranding
262,26520.81,3,27174.23,3047,1723,10,cobranding
615,55305.5,5,,1626,4772,15,holiday
587,43860.38,3,29910.54,1663,4520,11,special
457,29118.85,4,30975.73,1482,2150,12,non_event
911,41679.06,3,34215.68,1858,1938,7,cobranding
809,50408.44,2,29213.17,1379,3454,15,cobranding
343,55132.93,4,38123.31,2039,3777,13,special
3,35593.3,5,29728.65,2340,4325,10,cobranding
147,39637.38,3,30274.83,1647,1867,15,cobranding
470,28903.01,3,31440.36,1589,3067,5,cobranding
989,39544.58,5,34699.61,1341,3397,7,non_event
288,31262.79,4,35258.95,1589,1791,8,cobranding
661,36432.88,3,30442.18,1316,4159,9,non_event
853,65351.28,3,32384.81,1478,4374,17,special
167,50905.39,3,30351.8,2164,4568,14,non_event
190,39342.86,5,35554.1,1836,3090,9,special
714,39887.67,2,31902.15,1823,1262,12,cobranding
952,36925.1,3,37749.17,885,2033,9,non_event
473,70094.92,3,31274.38,646,3888,24,special
394,22980.15,5,24106.2,1103,3703,14,cobranding
554,28534.98,2,29941.35,1428,2599,9,special
524,51394.2,3,33298.76,1260,4191,10,cobranding
201,24525.42,4,25403.8,2859,2619,9,special
663,45099.53,3,34548.62,754,2642,9,non_event
685,27217.12,5,,1972,569,12,non_event
981,49347.14,1,34622.23,1487,3854,14,non_event
301,48697.84,3,38689.82,1894,1655,13,cobranding
255,38075.18,2,29641.85,1200,5398,7,special
290,43128.95,2,27231.59,2460,3853,12,special
974,31287.92,6,37583.22,1533,3017,9,holiday
784,40837.97,3,37009.19,1696,3452,9,special
888,35535.46,5,29838.44,1484,3800,12,cobranding
248,39553.46,4,31869.51,1821,4588,7,special
161,21291.17,5,29888.86,1974,1891,9,non_event
144,37843.97,4,31646.14,2185,2826,12,special
116,24551.16,2,26665.7,1473,1953,8,holiday
19,57946.29,3,,2010,2507,17,special
461,35916.74,2,29993.55,2035,2899,10,special
573,32931.66,3,37103.77,1646,1521,10,holiday
790,31178,3,37943.46,1357,2503,10,holiday
589,23322.52,3,28638.1,2013,2839,6,cobranding
18,24471.04,3,,1887,1927,8,cobranding
787,47279.62,4,31304.23,2050,5629,12,non_event
391,38377.32,4,29298.93,2659,4177,9,cobranding
593,41151.9,4,31616.05,1569,3656,11,holiday
889,32962.66,4,34075.72,1300,3474,7,special
458,25812.36,4,23092.01,1032,3771,11,holiday
186,37942.2,2,33091.33,1258,4065,11,cobranding
885,34154.48,4,32105.78,1383,2555,13,special
1,38628.37,3,30185.49,1025,4422,11,holiday
894,64044.91,3,36893.57,2841,4383,12,special
761,39652.48,2,,1969,4416,11,holiday
751,25316.93,4,32904.62,802,3183,9,non_event
707,10321.22,4,26256.46,1528,2215,4,cobranding
875,43560.74,3,25646.36,1820,5239,12,non_event
658,40076.97,3,30502.35,1914,2846,14,holiday
972,55586.85,5,32690.68,2364,4251,16,holiday
665,17468.82,3,25178.48,1350,2412,8,special
396,13312.97,3,29324.41,626,2511,7,cobranding
699,31257.31,0,26965.57,1827,2775,8,non_event
440,23895.2,4,34954.37,2017,2012,7,special
532,20454.09,4,28921.44,1463,1951,9,special
387,36974.13,1,32691.66,1518,2571,9,non_event
136,58934.4,3,29719.66,2696,3248,16,cobranding
304,63024.21,2,38959.46,1954,3529,14,cobranding
688,26400.86,4,,1828,3362,5,cobranding
198,52916.07,3,32549.24,1635,5328,12,special
696,55132.49,3,37885.86,1620,3072,13,special
605,52037.28,4,31667.79,1719,3574,15,cobranding
625,40074.91,3,31720.61,1159,2977,10,non_event
723,29302.91,5,33960.23,1546,3305,10,cobranding
854,23777.5,3,28344.11,1027,178,17,cobranding
802,46757.79,4,32344.74,1776,3804,16,special
474,59542.35,5,32594.21,1374,3589,19,special
30,45892.31,4,35698.78,829,1993,12,special
518,55947.91,3,37406.54,1357,2570,15,special
873,38052.85,2,33125.55,1897,3410,9,special
830,30322.01,3,28027.43,1411,2439,14,special
359,21981.72,5,33234.52,1120,1024,9,cobranding
484,41812.84,6,38273.27,1088,3226,10,special
839,44085.76,3,31276.12,1546,1875,16,special
848,42851.24,3,33904.59,1224,1862,12,non_event
22,33483.81,2,29172.53,1604,2003,11,cobranding
453,23319.33,4,26544.94,1647,2882,5,special
641,46358.31,3,31850.85,1851,3409,14,special
793,56939.37,3,34087.58,2895,3946,8,cobranding
111,26421.26,4,28974.18,1692,3120,10,non_event
529,25595.6,3,28324.54,1627,3365,10,non_event
940,45170.17,3,31224.72,1658,2949,15,cobranding
112,24043.89,5,29950.73,1159,868,9,cobranding
103,48341.63,4,32871.29,1267,3880,13,cobranding
311,29292.93,2,31127.82,1093,3597,10,non_event
400,28752.04,3,30937.08,1441,3418,9,non_event
507,37487.67,5,31512.53,2079,3669,14,cobranding
337,56697.84,3,36644.85,1706,2238,14,cobranding
951,32324.69,4,28237.07,1157,4687,10,non_event
686,49415.4,4,,963,3586,10,non_event
872,25434.26,5,34050.03,1871,2786,7,cobranding
369,65578.24,3,33206.77,2271,3539,13,cobranding
210,77546.6,4,40392.43,1527,5144,15,cobranding
259,31465.65,3,36589.83,948,3140,6,cobranding
130,30087.68,3,31368.27,2604,2457,12,special
737,24315.16,3,24467.61,1025,3281,7,special
621,37684.1,3,30449.65,1738,3500,11,non_event
354,44600.12,3,33782.89,748,3068,15,non_event
427,26729.2,4,28631.54,1765,3919,7,cobranding
56,31299.75,2,26393.34,1552,4607,10,cobranding
381,34627.42,4,30110.89,1308,2196,13,holiday
827,43286.78,3,30382.28,343,5304,14,non_event
517,51012.2,5,35067.12,1869,4233,12,special
620,36929.76,3,27644.93,1236,4423,9,special
208,25325.78,3,30833.94,1932,4570,3,special
163,42788.25,4,35116.29,1022,3721,12,non_event
59,17492.63,4,23285.26,1786,2921,8,cobranding
775,49807.84,4,27752.9,2188,3923,15,special
933,21324.86,3,20530.33,682,4091,11,non_event
113,41385.84,2,36151.67,1875,2075,11,special
924,30941.77,1,,1232,2711,7,special
199,73377.15,4,38752.54,2458,3928,20,holiday
883,40329.99,4,30335.46,2260,2799,12,cobranding
577,48031.93,3,31558.82,1553,3465,13,non_event
33,50298.77,3,32477.61,1451,5184,12,holiday
805,33616.62,1,31450.51,1378,3131,7,special
68,57120.54,4,35297.58,1258,4053,14,non_event
363,48689.58,4,29474.67,1801,3107,14,special
149,44452.3,4,34625.08,1149,4052,10,cobranding
20,35574.49,4,,1156,2843,12,non_event
342,36985.24,3,35234.25,923,3307,14,special
224,50462.07,4,33823.64,1661,3370,10,cobranding
128,48774.4,2,24868.99,1804,4914,13,cobranding
701,34446.64,2,28456.77,1663,2630,12,non_event
986,23510.02,4,24136.22,1209,3435,12,special
991,41677.55,3,33164.16,1804,3437,13,special
531,34288.71,5,25557.9,1738,3775,13,cobranding
477,27652.56,3,26028.07,1465,2588,13,cobranding
189,34890.39,2,29190.81,1713,3517,9,special
956,31837.56,3,28058.02,1365,4541,11,cobranding
41,27791.59,3,32933.53,0,4030,7,cobranding
503,44137.75,4,31764.41,2034,2843,12,special
876,26618.6,3,24639.33,1245,5172,11,cobranding
442,20331.37,5,32413.92,886,3145,11,cobranding
543,22458.65,2,28214.49,1510,4024,6,special
770,34378.89,2,,1563,3046,12,holiday
174,47466.23,4,27789.11,1519,5792,12,non_event
966,38597.53,3,28997.84,1618,2991,9,cobranding
438,38626.58,5,27185.01,1270,4011,12,cobranding
670,41719.29,2,32894.43,2395,2855,13,special
999,39093.23,4,34785.8,2803,4270,8,cobranding
279,52408.96,3,30039.16,2019,4436,10,holiday
831,40286.81,3,38313.72,1020,2890,11,non_event
191,54753.73,2,34382.56,2335,2527,15,cobranding
746,29271.18,3,31932.01,1467,2455,8,holiday
799,50201.45,4,31885.5,1484,2579,14,cobranding
606,62890.57,4,33532.56,1933,4517,16,non_event
879,27021.03,3,25873.2,1507,3978,11,special
828,23787.84,3,31768.63,1928,1329,5,special
519,52240.91,2,28302.21,1354,5096,11,cobranding
14,40774.27,3,,1673,3574,11,cobranding
79,30476.48,3,31627.47,1793,4166,8,cobranding
310,41038.77,3,34750.93,1804,3021,10,non_event
351,47233.72,6,32764.5,1551,4216,9,cobranding
153,28167.32,4,29227.59,1549,3923,12,holiday
294,37292.82,5,39880.01,1513,2918,6,cobranding
172,63488.6,3,43676.9,1470,3803,10,special
419,19183.01,3,25638.83,1925,1822,14,special
367,55229.72,4,38358.52,1160,4296,10,cobranding
246,40352.76,2,35326.94,1877,4610,6,non_event
687,36258.28,4,,2267,4498,7,special
730,36277.74,3,25879.43,954,3067,14,special
407,49517.17,3,25625.27,1613,4344,13,holiday
664,41134.12,3,40558.99,1757,3465,8,special
76,39161.4,5,34602.81,1935,3351,12,special
962,47776.02,2,33434.38,1115,2874,11,special
426,26585.8,4,28142.98,1141,3555,10,special
44,32520.6,3,34250.31,1098,2974,8,non_event
833,50687.46,2,32859.75,1176,3004,13,cobranding
143,53207.1,3,31671.65,1757,4225,10,cobranding
178,31909.74,5,25150.68,1193,3880,12,special
305,45297.33,3,31916.34,2180,2274,16,special
903,30357.38,5,29460.7,1428,2484,13,cobranding
268,61157.64,3,39894.73,1521,4091,15,cobranding
90,48649.28,4,,1685,4839,10,cobranding
109,33832.02,3,30083.47,1685,3937,9,special
281,43886.97,3,30730.27,2001,3668,10,cobranding
106,42709.11,3,30522.9,2752,3839,15,special
851,39859.69,4,33460.76,1939,3740,11,non_event
927,34418.4,3,30851.18,1593,2035,9,non_event
953,52662.37,1,35291.56,1859,2404,12,cobranding
16,31824.68,4,,1693,3224,15,cobranding
465,63328.05,2,29326.3,1694,5020,18,cobranding
629,44074.1,4,28488.93,2626,3933,13,special
212,41848.52,4,30703.4,1592,4641,10,cobranding
838,30074.72,4,27189.92,881,4162,12,special
257,32028.99,3,32477.87,1876,4027,3,special
919,43035.32,4,,2108,2576,12,holiday
397,54150,4,29494.04,2002,4200,11,cobranding
545,28732.49,4,31247.04,1143,4330,9,cobranding
374,24832.47,4,29264.16,1795,2531,10,cobranding
743,23328.83,6,24817.72,1785,3374,13,cobranding
139,38268.87,3,29483.08,1792,4521,11,non_event
988,57946.42,4,37198.08,1518,2707,15,special
325,43872.08,4,32935.08,1814,2995,16,special
71,39738.22,3,29483.12,2086,2746,11,cobranding
866,43339.71,3,31517.2,579,4554,12,non_event
320,39488.31,3,28655.41,1246,4139,9,holiday
388,43364.44,5,31934.06,1336,3307,17,non_event
719,46341.53,1,29490.57,1477,3787,11,cobranding
744,25140.13,5,25604.56,2231,2417,12,cobranding
662,44943.19,2,38628.09,1028,2234,11,cobranding
742,54455.55,3,34319.81,1617,2843,16,non_event
81,24912.56,4,28532.05,2112,2380,10,cobranding
504,33632.69,1,28655.74,2000,2263,8,non_event
654,54119.1,4,34370.39,1643,3793,15,special
282,30184.74,3,27034.02,1689,3815,9,cobranding
752,39223.79,2,31172.24,2303,2108,14,non_event
546,49554.27,2,33734.39,1738,2699,12,non_event
586,15752.05,3,23585.16,1812,2580,10,special
887,48097.64,3,33257.92,1485,2370,17,special
140,42190.23,3,32275.49,1031,3876,13,special
617,46482.62,2,,1794,2770,11,cobranding
656,33950.87,4,29266.27,2104,4000,9,cobranding
724,36194.27,3,32460.35,389,3794,10,special
462,36914.96,3,34653.35,830,3012,12,holiday
836,35377.56,4,39456.09,1043,3205,9,non_event
360,50764.24,4,38447.57,1433,3254,10,cobranding
783,52396.67,5,33048.25,2418,4282,19,holiday
138,34421.56,4,28715.94,1807,3638,12,cobranding
124,41423.28,3,31671.1,1228,1401,16,special
653,13197.12,4,28960.62,1161,2307,9,cobranding
93,41232.72,3,,2010,2981,11,cobranding
946,45404.47,3,33879.12,1756,2812,12,special
958,42687.58,6,36781.45,1153,3382,11,cobranding
937,33928.72,4,30084.97,1501,3805,9,non_event
253,21081.72,2,22923.99,1259,4332,9,holiday
878,37320.59,3,28651.56,1617,3409,11,cobranding
409,27602.79,4,28099.42,1372,3898,12,special
638,35515.89,6,28670.93,946,4236,12,special
823,59264.66,4,39856.19,3280,3921,6,cobranding
78,37702.18,4,30276.55,1185,2545,11,holiday
101,32982.53,2,28486.96,2852,3692,10,special
292,39943.52,4,35826.12,999,2170,10,cobranding
626,55573.94,2,38872.44,1715,4551,8,non_event
772,12196.42,3,,1855,1632,6,non_event
646,50222.01,3,32681.45,1854,4832,7,cobranding
227,54134.8,5,35573.26,1888,3835,15,special
269,33582.15,2,32933.45,1575,3540,7,special
677,44461.44,3,37151.31,901,3060,12,special
864,15993.22,5,30200.46,1253,2798,6,cobranding
908,51067.82,3,35256.77,1556,2323,15,non_event
80,39809.09,3,27178.18,1573,1433,16,non_event
729,45585.2,3,32948.68,2052,2262,14,cobranding
804,13669.62,3,24711.11,793,2899,7,cobranding
660,50132.69,5,37785.33,1545,3815,10,cobranding
651,23371.24,3,25647.42,2245,2178,8,cobranding
431,45694.16,5,34675.88,1441,3990,9,special
486,33096.88,3,29276.77,2097,3216,8,non_event
236,60967.47,4,39615.73,2225,2422,14,holiday
781,39087.63,2,28391.18,1330,4006,13,cobranding
510,42747.87,3,35602.35,1392,3863,12,cobranding
9,43493.59,4,34859.01,2924,4490,8,non_event
874,25193.7,4,31671.97,1731,3217,9,cobranding
28,42946.68,4,31553.73,2036,4667,9,cobranding
525,43568.38,3,32106.15,1444,4017,12,holiday
463,55198.73,3,36376.96,1239,4582,13,non_event
537,36653.66,3,34989.52,1280,3781,8,cobranding
