revenue,gender,age,engaged_last_30,lifecycle, days_since_last_order ,previous_order_amount,3rd_party_stores
691.5,1,44,0,C,22.84,1934.012,10
178.99,1,61,0,B,2.84,2448.031,0
1878,,,,C,4.42,3965.406,0
110.99,1,64,0,B,4.74,2294.99,0
74.97,,,,A,0.13,89.99,0
83.97,1,48,0,B,2.42,1562.25,0
249.99,1,44,0,B,2.58,1999.547,0
605.55,1,63,0,C,7.61,2099,0
29.99,,,,C,0.16,2401.024,9
116.16,1,55,0,C,8.65,3536.384,1
99.89,,,,B,2.94,1104,0
62.97,1,66,0,C,2.71,3178.464,1
807.96,,,,C,7.52,0,0
109.99,1,52,0,B,1.1,1353.751,0
519.89,1,94,0,C,15.19,5588.16,0
79.99,1,43,0,C,8.94,3342.202,0
32.99,,,,B,1.71,2121.194,0
982.99,1,52,0,A,0.65,799.96,0
960.97,,,,C,0.29,0,10
934.19,,,,C,9,956.02,0
409.96,1,46,0,C,3.81,504.21,10
66.98,1,70,0,B,3.55,571.98,0
85.49,,,,C,14.97,4789.54,3
78.98,,,,C,4.48,1294.577,1
67.99,,,,C,19.29,1320.225,2
610.93,1,69,0,A,0.13,4301.64,0
36.98,1,75,0,C,6.16,675.98,2
179.98,1,62,0,B,2.03,2242.609,0
98.96,1,71,0,C,13.42,1820.629,0
115.96,,,,C,19,1434.519,10
1272.38,0,66,0,C,6.29,1788.571,0
2061.82,,,,C,8.9,1564.154,0
239,1,60,0,C,11.55,1566.009,1
139.99,,,,C,4.42,378.98,7
162.98,1,54,0,C,16.94,5495.106,0
57.97,0,57,0,C,18.61,9.98,10
299.99,1,52,0,C,5.42,1561.89,2
119.99,,,,A,0.35,9325.65,0
159.4,1,68,0,C,5.58,2149.149,1
47.97,1,62,1,B,1.52,1350.97,0
89.99,1,68,0,A,0.55,1488.522,0
35.99,,,,B,2.97,3522.361,0
142.49,1,63,0,C,17,5032.761,0
574,1,75,1,B,1.42,11205.204,0
947.95,1,,0,A,0.13,11597.9,0
1297.95,1,,0,A,0.74,5004.344,0
840.47,,,,C,23.52,1660.16,3
789,,,,C,21.9,984.99,0
129.99,1,68,0,B,4.13,2537.474,0
39.99,,,,C,8.81,0,10
1394.04,,,,C,9.65,5485.481,6
558.58,1,64,0,B,2.65,6669.14,0
23.99,1,70,0,C,9.03,1581.443,4
39.99,1,42,0,B,1.65,1780.96,0
119.98,,,,B,3.77,2789.282,0
656.95,1,48,0,C,8.39,988.577,0
58.97,1,57,0,C,9.55,2065.052,4
69.99,1,47,0,A,0.13,4437.427,0
27.99,,,,C,6.97,1286.567,3
538.99,1,50,0,C,15.03,871,10
66.98,,,,C,3.42,129.99,0
49.99,,,,B,3.45,919.6,0
21.97,,,,C,22.39,2316.98,0
73.96,1,84,0,C,8.65,1104.98,4
654.4,1,91,0,B,1.58,4418.95,0
69.99,1,52,0,C,9.77,2891.86,0
249.99,,,,C,10.35,6133.562,0
79.98,,,,A,0.68,11597.9,0
39.88,,,,A,0.71,2006.324,0
4457.99,,,,C,21.19,11597.9,0
57.28,1,51,0,C,20.74,1638.394,10
364.79,,,,C,5.61,823.98,0
376.98,1,67,0,C,12.16,820.47,0
348.95,,,,C,12.94,2881.07,5
642.284,1,57,0,C,9.45,927.58,0
165.49,,,,C,11.55,253.76,10
539.98,1,52,0,C,16.68,1253.724,2
239,,,,C,11.77,0,10
228.99,1,67,0,C,0.13,1469.601,10
438.028,1,63,0,B,1.29,4226.281,0
39.98,1,54,0,C,7.48,0,3
599.97,,,,C,0.26,1168.47,1
388.97,1,66,0,C,0.52,3538.991,10
308.99,,,,C,3.03,2559.433,9
1767.97,1,65,0,C,6.9,6355.992,0
505.98,,,,C,5.81,3221.972,0
27.99,,,,B,1.52,3417.601,0
747.97,,,,C,5.35,3529,0
1728.93,,,,B,3.45,2623.984,0
269.99,1,54,0,C,2.19,3216.827,0
632.98,1,61,0,A,0.13,2759.39,0
32.99,,,,B,2.81,0,0
582.91,,,,C,14.81,1551.477,0
485.97,1,62,0,C,9.16,1299.42,0
19.99,,,,C,9.9,2449.31,4
488.97,1,80,0,C,16.81,0,0
609.99,,,,C,9.74,1577.611,0
310.906,1,67,0,C,15.48,1941.594,10
128.99,,,,C,6.9,0,10
545.98,1,34,0,C,10.97,1348.99,0
249.99,1,42,0,B,3.42,3797.493,0
298,,,,A,0.9,2907.01,0
33.98,1,56,0,C,11.35,3881.727,0
531.96,1,84,0,C,4.84,3701.43,1
97.97,,,,C,6.13,2803.724,1
199.99,1,58,0,C,15.58,1388.094,1
153.12,1,62,0,B,2.1,2239.449,0
51.98,,,,C,6.97,1387.99,0
99.99,,,,C,20.77,1063.99,0
499.99,1,52,0,A,1,0,0
99.99,1,43,0,C,5.19,3571,10
52.97,1,56,0,C,3.13,0,1
79.96,,,,C,7.45,212.74,0
378,,,,C,23.71,2060.61,10
225.99,1,66,0,C,18.26,1103.982,10
375.97,,,,A,0.94,98.99,0
56.97,1,76,0,C,19.71,2453.294,10
33.98,1,55,0,B,1.61,875.66,0
78.98,1,75,1,B,1.87,844.469,0
36.98,1,55,0,C,4.26,1331.47,1
87.99,1,77,0,C,8.58,1128.604,0
14.99,,,,C,15.19,1803.98,0
17.99,1,62,0,C,5.84,1729.559,0
181.88,,,,B,1.19,6490.651,0
19.99,,,,C,0.77,0,10
179,,,,C,23.71,2106.97,1
732.16,1,65,0,B,3.42,4703.315,0
109.95,1,88,0,C,7.55,3623.88,10
97.97,,,,C,14.74,1070.436,0
494.99,1,55,0,B,1.42,2481.94,0
69.99,1,,0,A,0.45,6250.667,0
190.97,1,52,0,C,23.71,22.79,10
47.98,1,68,0,C,13.77,8515.881,4
119.99,1,54,0,B,1.61,5516.426,0
208.202,,,,C,11.77,1932.274,4
43.19,1,72,0,C,3.68,0,1
723.48,1,57,1,C,6.52,399.2,3
129.99,1,56,0,C,0.61,4026.49,10
197.94,,,,C,17.84,0,10
20.94,,,,C,10.55,2698.94,1
842.71,1,71,0,C,3.77,1740.74,1
703.97,1,60,0,C,8.74,2687.38,0
383.88,1,47,0,C,19,1278.867,0
479.99,1,36,0,C,2.9,567.99,1
115.99,1,69,0,B,3.13,583.97,0
317.97,,,,C,7.03,1093.68,0
59.99,,,,A,0.77,606.23,0
146.97,1,51,0,B,1.87,3690.45,0
1098,1,82,0,C,13.16,838.99,5
2491.99,1,46,0,C,2.65,1508,1
1208.94,,,,C,14.45,1232.519,0
55.98,,,,C,5.55,2107.91,0
299,1,63,0,C,6.52,2100.85,0
357.49,,,,C,16.9,4126.5,3
75.99,1,67,0,C,10.74,1733.492,5
99.99,1,50,1,C,11.9,2318.817,10
388.6,,,,C,5.42,722.99,3
49.47,,,,A,0.74,2914.73,0
545.08,,,,C,22.94,6883.51,1
93.96,1,82,0,B,4.13,658.99,0
301.48,1,67,0,A,0.13,6022.713,0
548.99,1,68,0,C,6.42,4475.201,0
684.92,1,68,0,C,12.71,419.99,0
1136.96,,,,B,1.16,2252.94,0
115.96,,,,C,9.9,1099,4
636.97,,,,C,12.65,2506.311,5
17.99,1,75,0,C,18.42,1071.866,5
239,,,,C,15.68,1299.134,0
51.98,,,,C,5.06,1302.497,0
738.97,,,,B,4.26,3965.3,0
140,,,,C,11.1,395.52,10
67.98,,,,C,9.32,2258.521,4
239,,,,C,19.55,384,10
588.97,,,,C,4,0,1
29.99,,,,C,3.26,1087.97,3
39.98,1,75,0,C,18.77,958.614,10
112.46,1,77,0,B,4.42,203.99,0
199.99,,,,B,2.1,0,0
98,1,39,0,C,10.94,1281.49,0
54.97,1,67,0,A,0.45,662.6,0
89.99,1,48,0,C,23.71,597.419,0
588.99,1,70,0,C,14.94,1105.934,6
94.97,,,,C,9.61,4.95,4
3789.47,0,28,0,B,1.1,3347.98,0
39.99,,,,A,0.13,2201.12,0
84.99,,,,C,0.84,1537.129,10
574.09,,,,C,10.23,2470.58,0
1195.8,1,48,0,C,16.1,4213.022,0
578.99,,,,C,15.55,3579.241,10
446.48,1,65,0,C,16.81,2023.904,0
1117.87,1,76,0,C,5.13,841.98,10
46.99,1,48,1,C,5.23,718.582,10
588.97,1,49,0,C,7.23,1655.522,0
519.68,,,,B,1.81,3220.64,0
35.98,1,61,0,C,9.35,2340.98,4
758.96,,,,C,3,2583.522,1
1068.99,,,,A,0.52,2734,0
110.99,1,63,0,B,2.39,1095.766,0
231.95,,,,C,3.65,4490.185,1
164.95,1,58,0,C,17.13,563.99,0
852.96,,,,C,4.19,1569.96,1
714.99,1,78,0,C,14.68,4580.347,0
349.99,1,81,0,C,10.52,2837.387,0
63.99,,,,C,7.23,959.84,3
32.99,1,,0,C,8.29,1098.97,2
83.97,0,86,0,C,15.35,1596.91,10
49.98,,,,C,10.45,4509.47,3
427.79,1,42,0,C,12.29,939.2,0
78.98,1,50,0,C,5.77,1143.621,4
93.66,1,95,0,B,2,465.4,0
76.98,,,,C,8.06,544.98,0
239,1,57,0,C,21.1,3472.93,5
1348.33,1,87,0,C,15.74,3097.192,3
239,,,,C,11.77,483.99,10
27.99,,,,B,1.58,1057.11,0
129.99,,,,C,18.68,2637.88,10
886.15,1,67,1,C,5.26,10179.597,1
754.98,1,97,0,B,4.39,995.98,0
49.99,,,,B,1.06,7453.248,0
362.97,1,97,0,C,23.71,5904.202,0
39.98,1,78,0,A,0.9,4952.823,0
101.97,1,76,0,C,12.39,0,5
140,,,,C,9.87,646.98,4
35.99,1,73,0,B,1.48,531.587,0
328.99,1,88,0,A,0.26,4024.552,0
52.97,1,84,1,C,21.87,0,10
1063.41,1,55,0,B,3.19,5755.542,0
537.97,,,,C,19.06,2925.87,0
927.87,1,81,0,C,8.94,1601.98,4
288,,,,C,20.39,1232,1
178.24,,,,C,7.29,1190.95,2
110.97,1,96,0,C,1.52,2469.06,10
109.95,0,,0,C,7.35,537.93,1
997.28,1,57,0,C,10.58,4348.744,0
149.99,0,46,0,C,12.55,2647.377,3
479.99,,,,C,2.65,1600.287,0
140,1,,0,C,6.16,0,5
21.99,1,50,0,B,4.32,4185.78,0
75.96,,,,A,1,350.99,0
434.97,1,83,1,C,12.29,1734.78,0
318.99,1,94,0,C,12.32,523.99,10
468.93,1,56,0,B,2.68,1941.74,0
99.99,,,,C,14.68,5.99,6
441.34,1,64,0,A,0.13,2831.96,0
174.95,,,,A,0.26,140.44,0
89.07,1,,0,A,0.68,284.05,0
71.18,1,72,0,C,3.9,3682.19,0
66.98,,,,C,9.9,1534.337,0
204.99,,,,C,14.23,647.65,4
129.99,1,50,0,C,18.32,2020.029,3
382.88,1,64,0,C,14.48,1774.024,0
539.98,1,66,0,B,1.81,3167.454,0
295.88,1,76,0,C,9.13,2251.927,1
139.99,1,48,0,B,3,670,0
34.99,,,,B,2.19,4389.05,0
109.99,1,86,0,B,1.55,3096.13,0
119.98,1,52,0,B,2.16,4694.778,0
44.99,1,70,0,C,13.48,814.519,5
140,1,79,0,C,11,1128.96,3
50.97,1,54,0,C,5.16,1846.77,1
53.18,,,,C,7.71,2296.77,3
57.97,1,48,0,C,5.97,0,1
17.99,1,65,0,A,0.61,176.98,0
53.98,,,,C,8.13,1894.981,10
110.97,1,67,0,C,10.45,1668.637,4
85.47,,,,C,8.58,6464.011,0
41.98,,,,C,19.9,555.99,10
488.97,1,46,0,C,23,11.09,5
239,,,,C,19.9,1667.99,6
333.99,1,46,0,B,3.97,5260.37,0
379.99,1,66,0,A,0.39,1394.724,0
998,1,58,0,C,9.74,2997.362,0
107.97,1,87,0,C,10.81,1585.507,0
1107.99,1,70,0,A,0.52,2494.39,0
49.98,,,,C,23.45,0,10
249.99,1,86,0,B,1.45,2523.984,0
171.98,1,50,0,C,3.19,2130.95,1
239,1,52,0,C,4.03,4019.407,1
120,,,,C,5.48,3510.25,2
140,1,59,0,C,0.68,2357.821,4
274.165,,,,C,11.68,349.99,0
527.95,,,,C,5.55,1082,1
133.96,1,63,0,C,11.65,1131.99,5
80.97,,,,C,6.42,481.56,0
372.39,1,28,0,C,5.35,1061.98,0
538.97,1,55,0,B,2.71,526.99,0
69.99,1,82,0,B,0.9,1307.98,0
189.95,,,,A,0.52,3460.16,0
1422.94,,,,C,10.68,652.29,10
478.62,1,60,0,C,11.71,6897.939,5
397.99,1,48,0,C,12.19,1831.96,5
413.98,,,,B,1.97,1054,0
255.97,1,,0,B,3.58,6132.77,0
6.99,,,,A,0.29,0,0
196.89,,,,C,14.19,1366.69,1
200.97,1,56,0,A,0.68,718.88,0
2402.86,1,53,0,C,10.06,0,0
66.98,,,,B,2.94,857.446,0
140,1,75,0,C,10,1033.97,2
59,1,61,0,A,0.13,526.98,0
524.99,,,,B,1.9,4363.98,0
49.98,,,,B,1.23,977.09,0
129.99,1,57,0,A,0.52,4062.694,0
38.99,,,,C,3.13,2326.327,1
43.19,,,,C,9.35,1040.98,0
30.99,1,69,0,C,5.32,3427.15,0
87.97,1,76,0,B,4.13,592,0
99.97,,,,C,11.81,3897.88,0
120,1,62,0,C,15.29,1808,10
141.95,1,50,0,A,0.26,429.01,0
750.49,,,,C,7,3274.06,0
218.95,,,,B,1.1,3230.694,0
486.97,1,55,0,B,4.71,11597.9,0
693.96,,,,B,3.52,1894.557,0
193.17,1,44,0,C,5.48,1579.96,7
179,1,84,0,C,19.06,844.99,1
239,,,,C,16.68,2648.78,3
43.19,1,66,0,C,5.35,2298.202,0
69.99,1,51,0,C,11.97,1970.4,1
64.98,1,66,0,C,12.23,1001.6,10
1029.98,1,73,0,B,1.68,0,0
111.96,1,51,0,B,4.16,1121.66,0
279.766,1,68,0,C,3.26,739.98,1
63.99,1,58,0,C,22.77,978.611,1
110.97,1,78,0,B,2.19,1004.9,0
368.95,1,71,0,C,22.13,453.02,10
499.99,1,63,0,B,4.81,3011.487,0
14.99,,,,C,7.16,5580.231,0
867.99,,,,C,13.39,2776.594,0
688.97,1,71,0,C,12.45,1500.151,10
30.99,1,64,0,C,17.06,3200.11,3
748.95,1,41,0,C,12.06,3035.151,10
109.97,1,72,0,C,18.84,2160.152,5
279.98,,,,B,4.19,1450.17,0
117.98,1,54,0,C,9.45,4689.869,0
1132.56,1,49,0,C,23.71,737.62,1
56,1,56,0,C,5.9,2283.88,0
548.97,,,,C,20.32,1240.95,0
99.99,1,37,0,A,0.87,6.99,0
57.97,,,,C,17.23,0,1
550,,,,C,0.42,610,10
347.99,,,,A,0.68,4131.58,0
780.99,1,59,0,C,7.06,1173.816,4
487.97,,,,C,20.55,1453.98,0
165.94,1,70,0,C,3.35,1167.28,2
288,,,,C,2.1,884,0
299.99,,,,A,0.71,1662.74,0
62.99,,,,A,0.77,0,0
699.93,1,53,0,A,0.13,1600.002,0
69.97,1,52,0,C,4.68,2408.872,1
20.99,1,86,0,C,13.42,1086.93,0
256.98,1,95,0,C,9.77,2795.52,3
963.01,1,73,0,C,7.45,4154.43,0
701,,,,B,1.39,1648.77,0
269.98,1,45,0,C,8.87,4636.679,0
376.98,1,45,0,C,10.1,589.01,0
734.02,1,44,0,C,3.81,5609.15,1
423.23,1,80,0,C,10.16,2831.63,3
66.98,,,,C,16.77,2387.98,1
87.26,1,71,0,A,0.74,1518.3,0
331.97,1,56,0,C,12.42,4852.38,0
556.79,,,,C,21.32,1654.434,2
139,1,70,0,C,3.65,711.99,1
52.98,,,,C,14.42,1668.499,0
407.98,1,59,0,C,10.68,3278.73,0
29.99,1,58,0,B,1.06,3042.397,0
289.96,,,,B,1.55,3087.08,0
89.99,1,57,0,C,3.87,6050.606,0
111.96,1,71,0,C,7.61,828.86,6
53.18,,,,B,1.71,0,0
79.96,1,51,0,C,5.35,2036.326,10
71.18,1,59,0,C,3.71,1228.96,1
660.97,1,49,0,C,17.32,1781.485,0
122.36,1,54,0,B,2.39,2643.631,0
299,,,,C,13.26,4652.348,4
130.95,1,61,0,C,5.55,1083.82,1
1358.61,,,,B,3,1102.05,0
47.97,1,49,0,C,9.45,2905.777,5
897.97,1,63,0,C,5.52,2700.39,0
347.98,,,,C,18.48,1588.76,10
33.99,1,84,0,C,18.16,985.98,0
44.99,,,,C,17.97,388.537,5
1932.36,1,71,0,C,7.39,1482.97,3
44.99,,,,C,3.13,990.73,1
206.682,,,,A,0.45,1084.69,0
308.95,1,80,0,C,5.74,417.37,1
1558.95,,,,C,13.29,1861.55,2
1103.97,,,,C,2.32,947,0
239,1,41,0,C,2.52,630.99,10
239,,,,C,11.94,555.98,10
35.98,1,63,0,C,5.35,782.561,2
239,1,65,0,C,11.06,1337.111,5
99.99,1,67,0,B,2.65,0,0
449.77,,,,C,15.68,1572.21,0
892.29,,,,C,10.19,2479.95,0
171.94,1,57,0,C,11.06,2022.434,10
129,,,,C,20.74,3039.06,10
289.99,1,33,0,C,7.74,3220.015,3
264.134,1,72,0,C,16.13,2079.36,0
84.97,1,68,0,C,12.9,1392.192,10
46.98,,,,C,9.48,1580.033,10
109.95,,,,C,2.32,928,10
664.37,,,,C,22.58,1532.07,10
85.47,,,,C,11.1,1009.891,10
288.27,1,37,0,C,16.06,1803.577,7
36.98,1,73,0,B,2.94,2404.464,0
266.584,,,,C,22.52,871.99,10
39.98,1,63,0,C,0.9,4468.131,10
843.52,1,45,1,C,9.13,11597.9,1
78.98,,,,C,15.26,832.587,10
349.99,,,,C,10.71,674.98,0
549.99,1,61,0,C,8.45,3552.294,0
59.99,1,65,0,B,2.52,2581.164,0
606.74,0,,0,C,0.26,129.99,10
239,1,52,0,A,0.65,4240.974,0
67.98,,,,C,14.45,580.537,10
150,1,57,0,C,16.45,2401.784,10
1749.99,1,36,0,C,21.77,4382.557,0
399.99,1,50,0,C,6.48,1880.09,0
79.17,1,79,0,C,7.55,2723.28,0
903.09,,,,C,20.84,2590.909,0
308.99,1,50,1,C,23.71,3567.027,10
79.99,,,,B,1.55,849,0
1149.57,1,60,0,C,3.19,2197.01,1
235.92,1,53,0,C,0.13,1034.98,5
289,,,,C,20.48,1120.011,0
92.02,1,79,0,B,4.48,3563.894,0
56,,,,B,2.48,4612.334,0
834.42,,,,C,21.32,1804.71,3
11285.6,,,,C,0.13,898.99,10
298.46,,,,C,12.74,5162.79,5
148.301,,,,C,10.32,1746.99,2
73.96,1,60,0,C,2.32,2221.97,0
368.96,1,49,0,C,18.84,675.98,0
38.98,,,,C,13.55,1838.89,0
63.99,1,58,0,B,2.87,1551.127,0
478.86,1,59,0,C,14.87,4902.812,5
34.99,,,,B,3.68,1940.925,0
250,0,60,0,A,0.35,2032.54,0
309.97,1,71,0,C,17,5612.75,1
558.99,1,76,0,C,5.1,3145.724,0
109.99,1,71,0,C,2.81,0,1
35.98,1,52,0,A,0.45,2656.994,0
62.99,,,,C,20.23,1412.13,10
89.07,,,,C,3.48,1410.977,1
129.98,,,,C,0.77,0,10
239,0,82,0,C,14.81,0,10
18.98,,,,C,21.1,750.98,10
129.15,1,61,1,A,0.65,3821.445,0
299.99,0,60,0,C,21.06,0,7
947.97,,,,C,20.87,942.99,0
229.99,1,58,0,C,2.52,0,0
499.99,,,,C,1.55,5284.587,10
399.99,,,,B,1.45,3978.911,0
251.94,1,38,0,B,1.71,11492.864,0
297,1,57,0,A,0.77,5190.781,0
107.06,,,,B,1.97,690.99,0
1428,1,76,0,C,20.1,11597.9,0
649.99,1,35,0,A,0.29,971.99,0
139.99,1,47,0,A,0.48,4765.464,0
113.99,,,,C,6.94,1630.774,2
199.99,,,,B,2.16,0,0
48.98,,,,C,10.1,719.1,4
52.34,1,53,0,C,12.65,758.43,0
764.99,1,41,0,C,5.1,9192.626,1
1078.99,,,,C,16.97,2910.198,0
272.92,,,,B,1.9,4711.85,0
25.99,1,36,0,B,2.03,2024.034,0
299.98,,,,A,0.9,3970.687,0
479.99,,,,C,18.29,571.99,0
158.48,,,,C,9.68,1802.484,6
59,,,,C,13.65,3126.971,10
119.98,1,51,0,C,5.16,6753.43,1
870.97,,,,C,6.61,377,0
449,1,28,0,A,0.16,1987.96,0
352.79,1,57,0,C,7.48,804.98,0
699.99,1,49,0,B,1.06,2412.79,0
45.98,,,,C,7.26,559.577,10
69.98,1,74,0,B,3.39,1691.94,0
420.98,1,51,0,C,10.06,3949.368,4
296.98,,,,A,0.58,3703.561,0
73.96,1,74,1,C,4.97,3605.168,0
568.99,1,56,0,B,2.23,11597.9,0
112.97,,,,C,9.48,2332.071,10
49.88,1,61,0,C,14.16,90,2
43.19,1,58,0,C,11.1,1069.02,0
479.99,1,77,0,B,3,5225.72,0
19.99,,,,C,9.39,763.99,0
122.36,1,66,0,B,2.48,165,0
308,1,68,0,C,8.29,533,2
322.42,,,,C,7.26,889.93,1
508.16,,,,B,1.19,862.98,0
477,1,53,0,A,0.58,4772.76,0
576.97,1,82,0,C,21.77,2563.9,0
89.98,,,,C,18.84,569.587,10
39.99,,,,C,10.94,442,0
29.99,,,,A,0.29,443.15,0
97.99,,,,B,3.1,4203.77,0
300.1,,,,C,11.81,4142.191,2
440.01,,,,C,12.1,469.39,7
52.98,1,73,0,C,8.61,4419.875,1
1663.95,,,,C,16.77,3507.428,0
239,,,,C,7.29,1290.404,2
324.99,,,,C,7.23,5036.92,3
722.95,1,61,0,C,10.45,3682.403,4
98,1,68,0,C,10.06,4349.597,0
129.57,1,94,0,C,4,3614.109,1
443.98,1,71,0,C,6.13,3932.056,1
588.97,1,33,0,C,11.42,5931.04,0
89.99,1,38,0,A,0.13,2405.389,0
89.99,,,,B,1.1,3411.42,0
2458.98,1,60,0,C,12.29,2150.441,0
239,,,,C,19.68,683.09,10
244.99,1,66,0,C,17.26,7480.808,2
66.98,1,61,0,C,8.23,4904.111,6
39.95,1,81,0,C,5.97,4043.524,1
106.94,,,,C,12.84,2058,1
59,,,,C,7.39,6224.362,6
667.97,1,43,0,C,5.55,9.9,2
239,1,87,0,C,5.81,2854.389,2
66.98,1,44,0,C,4.03,1400.97,1
52.18,1,63,0,C,3.42,922.27,0
744.01,0,73,0,C,12.35,588.99,1
53.18,1,58,0,C,9,796.67,0
134.96,1,31,0,C,5.16,2456.151,1
308.99,,,,C,12.23,1863.242,2
29.99,1,38,0,C,20.29,517.557,0
239,,,,C,12.97,2436.322,2
112.46,,,,C,5.23,1983.13,0
349.99,1,56,0,C,12.65,1969.527,5
1500.01,,,,A,0.52,4368.308,0
41.98,1,54,0,A,0.29,3193.074,0
54.97,1,71,0,C,3.16,2882.714,1
1069.92,1,34,0,C,4.74,812.972,10
155.98,,,,C,8.45,2313.07,1
158.94,,,,C,2.9,3885.897,1
139.99,1,78,0,B,1.55,3033.574,0
578.99,1,62,0,B,3.68,2613.496,0
49.99,1,54,0,C,7,3325.671,0
51.29,,,,C,4.74,0,1
359.99,1,71,0,C,13.13,1219.587,4
84.49,,,,B,1.48,1323.41,0
110,,,,C,9.52,1375.494,2
30.99,1,67,0,C,9.19,3888.249,4
23.96,,,,B,1.61,0,0
1301.94,1,60,0,C,14.29,5719.329,5
44.99,1,66,0,C,18.84,543.469,10
175.97,,,,A,0.9,2663.517,0
703.29,1,59,0,B,2.61,597.99,0
130.06,,,,C,5.32,1184.561,6
1198.42,,,,C,0.35,1037.9,10
288,,,,C,6.9,2371.557,0
