store_id,city,channel,gender_group,age_group,wkd_ind,product,customer,revenue,order,quant,unit_cost
758,杭州,线下,Female,30-34,Weekend,T恤,1,99,1,1,49
19,南京,线下,Female,35-39,Weekend,T恤,2,197,2,2,49
437,重庆,线下,Female,>=60,Weekday,牛仔裤,1,199,1,1,69
737,深圳,线下,Female,20-24,Weekday,T恤,2,257,2,3,49
208,重庆,线下,Female,20-24,Weekday,T恤,1,59,1,1,49
315,武汉,线下,Female,20-24,Weekend,毛衣,1,199,1,1,99
280,深圳,线下,Female,30-34,Weekday,T恤,1,79,1,1,49
335,上海,线下,Female,35-39,Weekend,配件,1,149,1,1,29
148,深圳,线下,Female,30-34,Weekday,T恤,1,58,1,1,49
831,杭州,线下,Male,30-34,Weekday,T恤,1,79,1,1,49
758,杭州,线下,Female,30-34,Weekend,T恤,1,79,1,1,49
335,上海,线下,Female,30-34,Weekday,短裤,1,33,1,1,19
256,武汉,线下,Male,25-29,Weekday,当季新品,1,57,1,1,59
649,杭州,线下,Male,20-24,Weekday,T恤,1,79,1,1,49
479,深圳,线下,Male,>=60,Weekday,T恤,1,79,1,1,49
480,重庆,线下,Female,20-24,Weekday,T恤,1,39,1,1,49
231,广州,线下,Female,>=60,Weekend,毛衣,1,0,1,1,99
437,重庆,线下,Unkown,Unkown,Weekend,T恤,1,99,1,1,49
758,杭州,线下,Female,40-44,Weekday,当季新品,1,75,1,1,59
802,西安,线下,Male,>=60,Weekday,T恤,1,59,1,1,49
312,杭州,线下,Male,35-39,Weekend,袜子,2,79,2,4,9
323,武汉,线下,Female,25-29,Weekday,T恤,2,134.33,2,2,49
168,武汉,线下,Male,25-29,Weekday,袜子,1,79,1,1,9
98,成都,线下,Male,30-34,Weekday,T恤,1,498,1,2,49
20,深圳,线下,Female,20-24,Weekday,T恤,2,158,2,2,49
399,广州,线下,Female,35-39,Weekday,当季新品,1,76,1,1,59
52,武汉,线上,Male,40-44,Weekday,当季新品,1,79,1,1,59
442,西安,线下,Female,30-34,Weekend,T恤,1,79,1,1,49
50,武汉,线上,Female,25-29,Weekend,T恤,1,79,1,1,49
312,杭州,线下,Male,30-34,Weekend,T恤,1,99,1,1,49
796,深圳,线下,Female,55-59,Weekday,短裤,1,40,1,1,19
360,成都,线下,Female,25-29,Weekday,T恤,1,79,1,1,49
20,深圳,线下,Female,35-39,Weekend,T恤,2,156,2,2,49
208,重庆,线下,Female,30-34,Weekday,牛仔裤,2,77,2,2,69
91,武汉,线上,Male,>=60,Weekday,当季新品,1,49,1,1,59
20,深圳,线下,Female,30-34,Weekday,当季新品,1,76,1,1,59
182,广州,线上,Female,35-39,Weekday,T恤,2,158,2,2,49
437,重庆,线下,Male,20-24,Weekend,当季新品,1,99,1,1,59
496,上海,线下,Female,20-24,Weekend,袜子,1,79,1,1,9
146,杭州,线下,Female,>=60,Weekday,T恤,1,39,1,1,49
255,杭州,线下,Male,35-39,Weekday,当季新品,2,391,2,2,59
369,广州,线下,Male,30-34,Weekend,T恤,1,99,1,1,49
68,重庆,线上,Female,25-29,Weekday,T恤,1,79,1,1,49
420,广州,线上,Female,20-24,Weekend,T恤,2,118,2,2,49
137,西安,线上,Female,35-39,Weekday,T恤,2,78,2,2,49
648,西安,线下,Female,30-34,Weekday,当季新品,1,54,1,1,59
98,成都,线下,Female,45-49,Weekend,当季新品,1,139,1,1,59
256,武汉,线下,Female,30-34,Weekday,运动,1,39,1,1,49
737,深圳,线下,Female,30-34,Weekend,袜子,2,40,2,2,9
248,杭州,线下,Male,20-24,Weekend,T恤,1,199,1,1,49
335,上海,线下,Female,30-34,Weekend,T恤,1,79,1,1,49
479,深圳,线下,Male,20-24,Weekend,T恤,1,79,1,1,49
52,武汉,线上,Female,25-29,Weekend,T恤,3,397,3,3,49
70,深圳,线下,Male,40-44,Weekend,T恤,1,59,1,1,49
46,武汉,线下,Male,50-54,Weekend,T恤,1,99,1,1,49
229,深圳,线下,Female,50-54,Weekend,T恤,1,198,1,2,49
50,武汉,线上,Male,>=60,Weekend,袜子,1,27,1,1,9
312,杭州,线下,Female,>=60,Weekday,T恤,2,158,2,2,49
146,杭州,线下,Female,30-34,Weekday,袜子,1,39,1,1,9
182,广州,线上,Female,30-34,Weekday,牛仔裤,1,38,1,1,69
248,杭州,线下,Female,30-34,Weekday,裙子,1,199,1,1,59
336,西安,线下,Female,45-49,Weekend,配件,1,79,1,1,29
658,深圳,线下,Unkown,Unkown,Weekday,袜子,1,79,1,1,9
336,西安,线下,Female,25-29,Weekday,短裤,1,39,1,1,19
146,杭州,线下,Female,20-24,Weekend,袜子,2,58,2,2,9
575,杭州,线下,Male,25-29,Weekend,T恤,1,79,1,1,49
325,上海,线下,Female,45-49,Weekday,牛仔裤,1,199,1,1,69
231,广州,线下,Female,40-44,Weekend,T恤,1,59,1,1,49
796,深圳,线下,Female,35-39,Weekend,T恤,1,59,1,1,49
229,深圳,线下,Female,20-24,Weekend,T恤,1,95,1,1,49
229,深圳,线下,Female,45-49,Weekend,配件,2,138,2,2,29
137,西安,线上,Male,35-39,Weekday,T恤,1,79,1,1,49
208,重庆,线下,Female,30-34,Weekday,裙子,2,391,2,2,59
496,上海,线下,Male,25-29,Weekday,当季新品,1,79,1,1,59
256,武汉,线下,Female,30-34,Weekend,配件,1,79,1,1,29
738,深圳,线下,Female,>=60,Weekday,T恤,1,79,1,1,49
336,西安,线下,Female,20-24,Weekday,袜子,1,27,1,1,9
616,成都,线下,Female,35-39,Weekday,牛仔裤,1,59,1,1,69
449,武汉,线下,Female,30-34,Weekday,T恤,1,158,1,2,49
429,西安,线下,Female,25-29,Weekend,T恤,1,99,1,1,49
255,杭州,线下,Male,25-29,Weekday,当季新品,1,54,1,1,59
256,武汉,线下,Female,50-54,Weekday,T恤,1,156,1,2,49
519,杭州,线下,Female,45-49,Weekday,短裤,1,37,1,1,19
207,上海,线上,Female,35-39,Weekday,牛仔裤,1,39,1,1,69
399,广州,线下,Female,40-44,Weekday,T恤,1,249,1,1,49
658,深圳,线下,Female,45-49,Weekend,T恤,1,99,1,1,49
611,深圳,线下,Female,50-54,Weekday,袜子,1,79,1,1,9
255,杭州,线下,Male,25-29,Weekday,短裤,1,33,1,1,19
20,深圳,线下,Female,30-34,Weekday,袜子,1,66,1,3,9
135,上海,线下,Female,30-34,Weekend,T恤,4,646,4,4,49
98,成都,线下,Female,30-34,Weekend,T恤,1,99,1,1,49
796,深圳,线下,Female,55-59,Weekday,T恤,1,99,1,1,49
148,深圳,线下,Female,<20,Weekday,T恤,1,59,1,1,49
146,杭州,线下,Male,25-29,Weekday,袜子,1,26,1,1,9
479,深圳,线下,Male,>=60,Weekday,短裤,1,39,1,1,19
429,西安,线下,Male,20-24,Weekday,T恤,3,157,3,3,49
28,武汉,线上,Male,25-29,Weekday,T恤,2,198,2,2,49
658,深圳,线下,Female,30-34,Weekend,袜子,1,18,1,1,9
146,杭州,线下,Female,25-29,Weekend,T恤,2,158,2,2,49
336,西安,线下,Female,40-44,Weekend,当季新品,1,79,1,1,59
399,广州,线下,Male,50-54,Weekday,短裤,1,38,1,1,19
335,上海,线下,Male,35-39,Weekend,当季新品,1,73,1,1,59
335,上海,线下,Male,>=60,Weekend,T恤,2,217,2,3,49
280,深圳,线下,Male,20-24,Weekday,T恤,1,59,1,1,49
182,广州,线上,Female,25-29,Weekend,运动,1,149,1,1,49
658,深圳,线下,Female,20-24,Weekday,配件,1,298,1,2,29
738,深圳,线下,Female,55-59,Weekday,当季新品,1,76,1,1,59
21,北京,线下,Female,35-39,Weekday,毛衣,3,447,3,3,99
429,西安,线下,Female,30-34,Weekend,运动,1,39,1,1,49
148,深圳,线下,Female,<20,Weekend,T恤,1,99,1,1,49
32,武汉,线上,Female,25-29,Weekend,T恤,2,198,2,2,49
245,杭州,线下,Female,20-24,Weekend,当季新品,1,149,1,1,59
70,深圳,线下,Female,20-24,Weekday,T恤,1,99,1,1,49
519,杭州,线下,Female,45-49,Weekday,配件,1,79,1,1,29
21,北京,线下,Female,45-49,Weekend,配件,1,149,1,1,29
98,成都,线下,Male,45-49,Weekday,袜子,1,39,1,2,9
70,深圳,线下,Female,30-34,Weekend,袜子,1,153,1,6,9
738,深圳,线下,Male,30-34,Weekday,当季新品,7,1405.55,8,8,59
256,武汉,线下,Male,>=60,Weekday,袜子,1,39,1,2,9
20,深圳,线下,Male,>=60,Weekday,T恤,3,292.82,3,3,49
375,广州,线上,Male,30-34,Weekday,毛衣,3,547,3,3,99
437,重庆,线下,Male,45-49,Weekday,配件,1,79,1,1,29
20,深圳,线下,Male,25-29,Weekday,牛仔裤,1,39,1,1,69
52,武汉,线上,Female,40-44,Weekday,T恤,1,79,1,1,49
19,南京,线下,Female,30-34,Weekend,T恤,1,79,1,1,49
480,重庆,线下,Male,25-29,Weekend,袜子,1,53,1,2,9
207,上海,线上,Male,30-34,Weekday,T恤,1,99,1,1,49
248,杭州,线下,Female,35-39,Weekday,配件,5,395,5,5,29
207,上海,线上,Female,50-54,Weekday,配件,1,115.62,1,2,29
248,杭州,线下,Male,30-34,Weekday,当季新品,2,136,2,2,59
245,杭州,线下,Female,30-34,Weekday,当季新品,1,79,1,1,59
135,上海,线下,Female,30-34,Weekday,袜子,2,66,2,3,9
738,深圳,线下,Male,30-34,Weekend,T恤,1,79,1,1,49
255,杭州,线下,Female,<20,Weekday,短裤,1,33,1,1,19
360,成都,线下,Female,30-34,Weekday,裙子,3,447,3,3,59
229,深圳,线下,Female,20-24,Weekday,袜子,1,59,1,1,9
758,杭州,线下,Female,20-24,Weekday,配件,1,199,1,1,29
280,深圳,线下,Female,20-24,Weekend,T恤,2,198,2,2,49
208,重庆,线下,Male,20-24,Weekend,T恤,1,99,1,1,49
98,成都,线下,Male,25-29,Weekend,T恤,1,99,1,1,49
146,杭州,线下,Male,<20,Weekday,裙子,3,447,3,3,59
231,广州,线下,Female,35-39,Weekday,T恤,1,79,1,1,49
98,成都,线下,Male,30-34,Weekday,T恤,1,198,1,2,49
312,杭州,线下,Male,25-29,Weekend,当季新品,1,73,1,1,59
480,重庆,线下,Female,25-29,Weekday,T恤,1,99,1,1,49
280,深圳,线下,Female,40-44,Weekend,当季新品,2,150,2,2,59
255,杭州,线下,Female,20-24,Weekday,袜子,1,79,1,1,9
182,广州,线上,Female,55-59,Weekday,当季新品,1,199,1,1,59
98,成都,线下,Female,35-39,Weekday,T恤,2,78,2,2,49
336,西安,线下,Female,35-39,Weekday,牛仔裤,1,39,1,1,69
369,广州,线下,Female,40-44,Weekend,袜子,1,79,1,1,9
229,深圳,线下,Male,35-39,Weekend,T恤,1,79,1,1,49
245,杭州,线下,Female,30-34,Weekday,T恤,1,58.27,1,1,49
575,杭州,线下,Female,35-39,Weekend,T恤,1,59,1,1,49
231,广州,线下,Female,30-34,Weekend,短裤,1,33,1,1,19
442,西安,线下,Male,35-39,Weekend,T恤,1,99,1,1,49
245,杭州,线下,Female,30-34,Weekday,当季新品,1,79,1,1,59
148,深圳,线下,Female,25-29,Weekend,T恤,1,99,1,1,49
91,武汉,线上,Female,35-39,Weekday,T恤,2,198,2,2,49
231,广州,线下,Female,40-44,Weekday,袜子,2,138,2,2,9
669,重庆,线下,Male,20-24,Weekday,短裤,1,40,1,1,19
20,深圳,线下,Male,20-24,Weekday,T恤,1,79,1,1,49
375,广州,线上,Female,35-39,Weekend,裙子,1,149,1,1,59
575,杭州,线下,Female,35-39,Weekday,T恤,3,215,3,5,49
335,上海,线下,Male,30-34,Weekday,T恤,1,198,1,2,49
19,南京,线下,Female,30-34,Weekday,T恤,1,96,1,1,49
496,上海,线下,Female,25-29,Weekday,当季新品,2,108,2,2,59
208,重庆,线下,Female,30-34,Weekday,当季新品,8,1791,8,9,59
315,武汉,线下,Female,20-24,Weekend,T恤,2,78,2,2,49
480,重庆,线下,Female,40-44,Weekday,T恤,2,78,2,2,49
519,杭州,线下,Male,40-44,Weekday,运动,1,39,1,1,49
137,西安,线上,Male,>=60,Weekend,短裤,2,139,2,4,19
449,武汉,线下,Male,25-29,Weekday,T恤,1,99,1,1,49
256,武汉,线下,Male,20-24,Weekday,T恤,1,99,1,1,49
360,成都,线下,Female,40-44,Weekday,运动,1,79,1,1,49
19,南京,线下,Female,30-34,Weekday,裙子,2,198,2,2,59
168,武汉,线下,Male,25-29,Weekday,T恤,1,79,1,1,49
430,成都,线下,Female,35-39,Weekday,当季新品,1,46,1,1,59
496,上海,线下,Female,25-29,Weekday,袜子,2,85,2,4,9
430,成都,线下,Male,>=60,Weekend,运动,1,39,1,1,49
796,深圳,线下,Female,30-34,Weekend,T恤,2,158,2,2,49
20,深圳,线下,Female,25-29,Weekday,毛衣,2,398,2,2,99
759,重庆,线下,Female,25-29,Weekend,当季新品,1,59,1,1,59
648,西安,线下,Female,25-29,Weekday,袜子,1,19,1,1,9
437,重庆,线下,Male,25-29,Weekday,T恤,1,76,1,1,49
168,武汉,线下,Female,40-44,Weekday,袜子,1,26,1,1,9
245,杭州,线下,Female,55-59,Weekday,运动,1,33,1,1,49
19,南京,线下,Female,40-44,Weekend,T恤,1,198,1,2,49
32,武汉,线上,Male,25-29,Weekday,袜子,2,47,2,2,9
605,成都,线下,Female,45-49,Weekday,配件,1,79,1,1,29
148,深圳,线下,Female,30-34,Weekday,当季新品,2,111,2,2,59
737,深圳,线下,Female,40-44,Weekend,短裤,1,79,1,1,19
207,上海,线上,Female,20-24,Weekday,T恤,1,79,1,1,49
738,深圳,线下,Female,30-34,Weekend,配件,1,79,1,1,29
669,重庆,线下,Female,30-34,Weekend,袜子,2,38,2,2,9
360,成都,线下,Female,40-44,Weekday,毛衣,1,199,1,1,99
182,广州,线上,Female,30-34,Weekday,袜子,1,39,1,1,9
70,深圳,线下,Female,35-39,Weekend,运动,1,39,1,1,49
135,上海,线下,Male,20-24,Weekday,T恤,1,198,1,2,49
437,重庆,线下,Female,25-29,Weekday,牛仔裤,8,1392,8,8,69
758,杭州,线下,Female,50-54,Weekend,当季新品,1,199,1,1,59
248,杭州,线下,Female,25-29,Weekday,牛仔裤,1,39,1,1,69
21,北京,线下,Male,20-24,Weekday,T恤,1,55.33,1,1,49
135,上海,线下,Female,25-29,Weekend,T恤,1,59,1,1,49
229,深圳,线下,Female,50-54,Weekday,配件,1,149,1,1,29
135,上海,线下,Female,25-29,Weekend,T恤,7,628,7,8,49
449,武汉,线下,Female,55-59,Weekend,T恤,1,79,1,1,49
280,深圳,线下,Female,35-39,Weekday,T恤,2,298,2,2,49
182,广州,线上,Female,20-24,Weekend,T恤,1,79,1,1,49
245,杭州,线下,Female,20-24,Weekday,T恤,1,158,1,2,49
208,重庆,线下,Male,35-39,Weekday,T恤,1,99,1,1,49
519,杭州,线下,Female,25-29,Weekend,T恤,1,99,1,1,49
231,广州,线下,Female,25-29,Weekday,裙子,4,257,4,4,59
255,杭州,线下,Female,25-29,Weekday,T恤,1,59,1,1,49
248,杭州,线下,Female,<20,Weekend,T恤,1,79,1,1,49
605,成都,线下,Female,30-34,Weekend,运动,2,99,2,3,49
520,杭州,线下,Male,25-29,Weekday,运动,2,66,2,2,49
91,武汉,线上,Female,20-24,Weekend,运动,2,98,2,2,49
52,武汉,线上,Female,25-29,Weekday,当季新品,6,1552.4,6,9,59
255,杭州,线下,Female,20-24,Weekday,裙子,2,338,2,2,59
520,杭州,线下,Female,35-39,Weekend,裙子,2,348,2,2,59
480,重庆,线下,Female,25-29,Weekend,配件,1,199,1,1,29
323,武汉,线下,Male,>=60,Weekend,T恤,1,59,1,1,49
280,深圳,线下,Male,35-39,Weekend,运动,1,99,1,1,49
207,上海,线上,Female,>=60,Weekday,配件,1,99,1,1,29
312,杭州,线下,Male,25-29,Weekday,T恤,1,79,1,1,49
20,深圳,线下,Female,30-34,Weekday,T恤,1,79,1,1,49
325,上海,线下,Female,>=60,Weekend,运动,1,39,1,1,49
21,北京,线下,Female,35-39,Weekend,牛仔裤,1,199,1,1,69
360,成都,线下,Female,20-24,Weekend,T恤,1,198,1,2,49
142,上海,线下,Female,45-49,Weekend,T恤,3,217,3,3,49
148,深圳,线下,Female,30-34,Weekday,当季新品,1,38,1,1,59
20,深圳,线下,Female,35-39,Weekday,T恤,1,59,1,1,49
21,北京,线下,Female,30-34,Weekday,当季新品,3,123,3,3,59
21,北京,线下,Male,35-39,Weekend,运动,1,99,1,3,49
429,西安,线下,Female,30-34,Weekend,T恤,1,79,1,1,49
142,上海,线下,Male,35-39,Weekend,T恤,1,59,1,1,49
737,深圳,线下,Male,30-34,Weekday,当季新品,1,79,1,1,59
430,成都,线下,Female,<20,Weekday,T恤,1,79,1,1,49
137,西安,线上,Male,25-29,Weekend,T恤,1,79,1,1,49
50,武汉,线上,Female,25-29,Weekend,当季新品,1,56,1,1,59
168,武汉,线下,Male,20-24,Weekend,T恤,3,495,4,5,49
369,广州,线下,Female,35-39,Weekend,运动,1,39,1,1,49
91,武汉,线上,Male,30-34,Weekday,袜子,1,26,1,1,9
21,北京,线下,Male,25-29,Weekday,T恤,1,59,1,1,49
231,广州,线下,Female,35-39,Weekday,当季新品,5,877,5,5,59
146,杭州,线下,Female,45-49,Weekend,当季新品,2,134,2,2,59
611,深圳,线下,Male,45-49,Weekday,毛衣,1,149,1,1,99
21,北京,线下,Female,30-34,Weekday,当季新品,4,792.4,4,4,59
449,武汉,线下,Female,25-29,Weekday,T恤,1,79,1,1,49
796,深圳,线下,Female,40-44,Weekday,牛仔裤,1,39,1,1,69
70,深圳,线下,Female,25-29,Weekend,裙子,2,398,2,2,59
91,武汉,线上,Female,25-29,Weekday,袜子,1,19,1,1,9
312,杭州,线下,Female,35-39,Weekday,裙子,1,199,1,1,59
207,上海,线上,Female,45-49,Weekday,当季新品,1,19,1,1,59
737,深圳,线下,Female,35-39,Weekday,T恤,3,457,3,3,49
437,重庆,线下,Female,40-44,Weekend,T恤,1,79,1,1,49
135,上海,线下,Female,45-49,Weekend,袜子,1,39,1,1,9
208,重庆,线下,Male,35-39,Weekend,T恤,1,59,1,1,49
649,杭州,线下,Male,35-39,Weekend,袜子,1,26,1,1,9
480,重庆,线下,Female,25-29,Weekend,裙子,1,199,1,1,59
315,武汉,线下,Female,30-34,Weekday,T恤,1,79,1,1,49
336,西安,线下,Female,50-54,Weekday,T恤,1,79,1,1,49
315,武汉,线下,Male,30-34,Weekday,牛仔裤,1,298,1,2,69
480,重庆,线下,Female,35-39,Weekday,牛仔裤,1,199,1,1,69
429,西安,线下,Female,45-49,Weekday,T恤,1,79,1,1,49
312,杭州,线下,Female,30-34,Weekday,运动,1,39,1,1,49
369,广州,线下,Female,40-44,Weekday,当季新品,1,143,1,1,59
32,武汉,线上,Female,<20,Weekend,裙子,1,199,1,1,59
360,成都,线下,Female,30-34,Weekend,短裤,1,39,1,1,19
207,上海,线上,Male,35-39,Weekend,T恤,1,149,1,1,49
520,杭州,线下,Male,50-54,Weekday,T恤,1,79,1,1,49
46,武汉,线下,Male,30-34,Weekday,T恤,1,79,1,1,49
479,深圳,线下,Female,>=60,Weekend,裙子,1,99,1,1,59
831,杭州,线下,Female,20-24,Weekend,毛衣,1,149,1,1,99
429,西安,线下,Male,20-24,Weekend,牛仔裤,1,39,1,1,69
20,深圳,线下,Female,30-34,Weekday,牛仔裤,5,785.23,5,5,69
796,深圳,线下,Female,55-59,Weekend,运动,1,99,1,1,49
207,上海,线上,Female,35-39,Weekend,牛仔裤,2,348,2,2,69
142,上海,线下,Female,45-49,Weekday,T恤,1,99,1,1,49
70,深圳,线下,Male,>=60,Weekend,配件,3,447,3,3,29
430,成都,线下,Female,30-34,Weekend,T恤,1,59,1,1,49
325,上海,线下,Female,55-59,Weekend,配件,1,79,1,1,29
182,广州,线上,Female,30-34,Weekday,T恤,1,99,1,1,49
479,深圳,线下,Female,30-34,Weekend,短裤,1,39,1,1,19
207,上海,线上,Male,>=60,Weekend,裙子,2,198,2,2,59
420,广州,线上,Female,35-39,Weekday,运动,1,32,1,1,49
831,杭州,线下,Male,>=60,Weekday,短裤,1,40,1,1,19
520,杭州,线下,Female,40-44,Weekday,T恤,1,99,1,1,49
21,北京,线下,Female,25-29,Weekend,T恤,6,613,6,7,49
420,广州,线上,Female,40-44,Weekday,T恤,2,158,2,2,49
759,重庆,线下,Female,40-44,Weekday,毛衣,2,447,2,3,99
98,成都,线下,Male,40-44,Weekday,T恤,1,99,1,1,49
21,北京,线下,Female,35-39,Weekend,配件,17,1816,18,24,29
168,武汉,线下,Female,35-39,Weekday,T恤,1,39,1,1,49
46,武汉,线下,Female,30-34,Weekday,T恤,4,396,4,4,49
802,西安,线下,Female,20-24,Weekday,配件,1,99,1,1,29
135,上海,线下,Male,40-44,Weekend,T恤,1,79,1,1,49
360,成都,线下,Male,25-29,Weekday,袜子,1,26,1,1,9
369,广州,线下,Female,35-39,Weekend,短裤,1,33,1,1,19
648,西安,线下,Unkown,Unkown,Weekend,T恤,1,79,1,1,49
437,重庆,线下,Female,40-44,Weekend,运动,1,39,1,1,49
32,武汉,线上,Female,25-29,Weekday,T恤,2,158,2,2,49
229,深圳,线下,Male,>=60,Weekday,T恤,1,39,1,1,49
479,深圳,线下,Female,30-34,Weekday,T恤,2,138,2,2,49
19,南京,线下,Female,55-59,Weekend,袜子,1,79,1,3,9
479,深圳,线下,Female,35-39,Weekday,牛仔裤,1,39,1,1,69
46,武汉,线下,Female,50-54,Weekday,当季新品,3,196,3,3,59
336,西安,线下,Male,20-24,Weekday,袜子,2,99,2,4,9
437,重庆,线下,Male,>=60,Weekend,T恤,1,99,1,1,49
142,上海,线下,Female,50-54,Weekday,T恤,1,297,3,3,49
496,上海,线下,Female,30-34,Weekday,T恤,1,99,1,1,49
648,西安,线下,Female,40-44,Weekend,当季新品,1,19,1,1,59
480,重庆,线下,Female,30-34,Weekday,毛衣,3,397,3,3,99
46,武汉,线下,Female,35-39,Weekday,T恤,2,117,2,2,49
146,杭州,线下,Male,<20,Weekday,当季新品,1,79,1,1,59
312,杭州,线下,Female,55-59,Weekday,当季新品,2,158,2,2,59
137,西安,线上,Female,20-24,Weekday,袜子,1,53,1,2,9
648,西安,线下,Female,30-34,Weekday,T恤,2,158,2,2,49
148,深圳,线下,Female,40-44,Weekday,T恤,1,79,1,1,49
28,武汉,线上,Female,20-24,Weekend,T恤,2,198,2,2,49
142,上海,线下,Female,30-34,Weekday,T恤,4,153,4,4,49
312,杭州,线下,Female,35-39,Weekday,T恤,1,199,1,1,49
738,深圳,线下,Female,55-59,Weekday,运动,1,96,1,1,49
575,杭州,线下,Female,30-34,Weekend,T恤,1,57.43,1,1,49
91,武汉,线上,Female,25-29,Weekend,T恤,3,295,3,3,49
52,武汉,线上,Male,30-34,Weekday,T恤,1,59,1,1,49
142,上海,线下,Female,<20,Weekday,T恤,1,55.33,1,1,49
148,深圳,线下,Male,45-49,Weekend,当季新品,2,231,2,3,59
831,杭州,线下,Female,40-44,Weekend,T恤,1,79,1,1,49
207,上海,线上,Female,40-44,Weekend,当季新品,10,1629,10,10,59
280,深圳,线下,Female,30-34,Weekend,当季新品,1,49,1,1,59
375,广州,线上,Female,35-39,Weekend,T恤,1,99,1,1,49
135,上海,线下,Female,>=60,Weekday,当季新品,2,134,2,2,59
46,武汉,线下,Male,20-24,Weekday,T恤,3,300.82,4,6,49
21,北京,线下,Female,20-24,Weekend,T恤,2,198,2,2,49
605,成都,线下,Female,35-39,Weekend,袜子,1,79,1,1,9
