,id,track_name,size_bytes,price,rating_count_tot,user_rating,prime_genre,sup_devices,ipadSc_urls,lang
48,294056623,FOX Sports Mobile,72748032,0.0,57500,3.0,Sports,37,0,1
49,294536447,First Words Animals,32164864,1.99,2576,4.0,Games,38,5,1
50,294631159,WeatherPro,69079040,1.99,1572,4.0,Weather,37,0,13
51,294934058,HotSchedules,82037760,2.99,3292,3.0,Business,37,2,2
52,295430577,Star Walk - Find Stars And Planets in Sky Above,150195200,4.99,8932,4.5,Education,37,0,12
53,295646461,"The Weather Channel: Forecast, Radar & Alerts",199734272,0.0,495626,3.5,Weather,37,0,33
54,295759189,Big Day - Event Countdown,13156352,0.99,812,3.0,Lifestyle,38,0,7
55,295775656,12 Steps AA Companion - Alcoholics Anonymous,30367744,2.99,1583,3.5,Lifestyle,37,5,1
56,296581815,OpenTable - Restaurant Reservations,93420544,0.0,113936,4.5,Food & Drink,37,1,6
57,297244048,VLC Remote,31505408,4.99,2027,4.0,Entertainment,37,5,33
58,297332787,gFlashPro - Flashcards & Tests,25997312,3.99,768,4.0,Education,37,3,3
59,297368629,Lose It! – Weight Loss Program and Calorie Counter,182054912,0.0,373835,4.0,Health & Fitness,37,3,1
60,297430070,Target,138754048,0.0,108131,3.0,Shopping,37,0,1
61,297606726,Fish Tycoon,13564835,0.99,18943,3.5,Games,47,0,1
62,297606951,"Amazon App: shop, scan, compare, and read reviews",133688320,0.0,126312,3.5,Shopping,37,5,8
63,297694601,Touchgrind,55205888,4.99,35735,4.0,Games,40,0,0
64,298127110,ProPresenter Remote,46922752,4.99,410,3.0,Utilities,37,5,1
65,298206806,iReal Pro - Music Book & Play Along,63283200,12.99,1390,4.5,Music,37,5,33
66,298596830,NRJ Radio,53426176,0.0,38,3.5,Music,37,5,4
67,298867247,Chase Mobile℠,39505920,0.0,233270,4.5,Finance,37,0,2
68,299029654,大辞林,210088960,21.99,64,4.5,Reference,37,5,2
69,299515267,Allrecipes Dinner Spinner,36399104,0.0,109349,3.5,Food & Drink,37,5,1
70,299853944,新浪新闻-阅读最新时事热门头条资讯视频,115143680,0.0,2229,3.5,News,37,0,1
71,299949744,MotionX GPS,56481792,1.99,14970,3.5,Navigation,37,0,1
72,300048137,AccuWeather - Weather for Life,181941248,0.0,144214,3.5,Weather,37,1,43
73,300238550,"Mint: Personal Finance, Budget, Bills & Money",162891776,0.0,232940,4.0,Finance,37,5,1
74,300255638,ABC News - US & World News + Live Video,98108416,0.0,48407,3.0,News,37,0,1
75,300265786,Rowmote: Remote Control for Mac,54088704,0.99,5531,3.5,Utilities,40,3,13
76,300590611,Peekaboo Barn,50155520,1.99,3393,4.0,Education,43,5,1
77,300704847,Speedtest by Ookla,23936000,0.0,65016,3.5,Utilities,38,4,17
78,301387274,Pocket God,145293312,0.99,187529,4.0,Entertainment,43,5,1
79,301521403,Nike+ Training Club - Workouts & Fitness Plans,140367872,0.0,33969,3.5,Health & Fitness,37,0,17
80,301724680,Citi Mobile®,281244672,0.0,48822,3.5,Finance,37,0,1
81,302049354,Phase 10 Pro - Play Your Friends!,66695168,1.99,59155,4.5,Games,40,5,1
82,302584613,"Kindle – Read eBooks, Magazines & Textbooks",169747456,0.0,252076,3.5,Book,37,5,9
83,303058767,MASH,41691136,1.99,4913,4.0,Games,37,3,15
84,303191318,同花顺-炒股、股票,122886144,0.0,1744,3.5,Finance,37,0,1
85,303337299,Wedding Dash Deluxe,55803904,0.99,16567,4.5,Games,43,4,1
86,303849934,Beer Pong Game,188956672,0.0,187315,2.0,Games,37,5,9
87,304731501,Tempo - Metronome with Setlists,22185984,2.99,4781,4.5,Music,37,5,10
88,304770340,Skat,66160640,3.99,94,4.5,Games,37,0,1
89,304871603,Color Splash,28135424,0.99,29554,4.0,Photo & Video,37,0,3
90,304871622,Zombieville USA,27962441,0.99,32988,4.0,Games,47,5,1
91,304878510,Skype for iPhone,133238784,0.0,373519,3.5,Social Networking,37,0,32
92,305343404,Tumblr,151573504,0.0,334293,4.0,Social Networking,37,5,16
93,305557780,iSwap Faces,27069440,1.99,2302,3.5,Photo & Video,37,5,1
94,305939712,Match™ - #1 Dating App.,101259264,0.0,60659,3.0,Social Networking,37,5,10
95,306169895,Tozzle - Toddler's favorite puzzle,168192000,2.99,2562,4.0,Games,37,5,4
96,306257910,HomeBudget with Sync,17485824,4.99,3042,3.5,Finance,37,5,11
97,306375551,Wind Meter,5234688,0.99,338,2.5,Weather,43,0,1
98,306468004,Map My Run+ - GPS Running & Workout Tracker,237913088,2.99,16434,4.5,Health & Fitness,37,0,9
99,306561234,Map My Ride+ - GPS Cycling & Route Tracker,233513984,2.99,10046,4.5,Health & Fitness,37,0,9
100,306621789,"HuffPost - News, Politics & Entertainment",110420992,0.0,29107,3.0,News,37,5,10
101,306628397,Phrase Party!,47774720,1.99,878,4.0,Games,38,5,1
102,306937053,Minesweeper Classic,22259712,0.99,1140,3.5,Games,37,4,1
103,307132353,Sally's Spa,431771648,2.99,35074,4.5,Games,43,0,6
104,307184892,"CBS Sports App - Sports Scores, News, Stats, Watch",120357888,0.0,59639,3.0,Sports,37,4,1
105,307219387,Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,90828800,4.99,2913,4.0,Health & Fitness,43,5,1
106,307354030,iSwap Faces LITE,30796800,0.0,39722,3.0,Photo & Video,37,5,1
107,307386350,DIRECTV,151397376,0.0,81006,3.5,Entertainment,37,0,1
108,307569751,NYTimes Crossword - Daily Word Puzzle Game,46880768,0.0,53465,3.5,Games,37,5,1
109,307727765,Doodle Jump,48741376,0.99,395261,4.5,Games,37,0,1
110,307741537,LEDit – The LED Banner App,17145856,1.99,2021,4.5,Utilities,37,4,12
111,307764057,niconico,25808896,0.0,182,3.0,Entertainment,37,5,3
112,307906541,Fandango Movies - Times + Tickets,81924096,0.0,291787,4.0,Entertainment,37,4,1
113,308111628,iCab Mobile (Web Browser),19451904,1.99,2441,4.0,Utilities,38,4,12
114,308339980,iRagdoll - Ragdoll Physics,118683648,0.99,1372,4.0,Games,37,2,1
115,308368164,Proloquo2Go - Symbol-based AAC,723764224,249.99,773,4.0,Education,37,5,3
116,308750436,Dictionary.com Dictionary & Thesaurus,111275008,0.0,200047,4.0,Reference,37,0,1
117,308834491,20 Minutes.fr - l'actualité en continu,109616128,0.0,112,3.5,News,37,5,17
118,309025938,The Masters Tournament,120725504,0.0,148160,4.5,Sports,37,5,1
119,309172177,myAT&T,68491264,0.0,108507,3.0,Utilities,37,5,2
120,309187846,SFR TV,122153984,0.0,46,3.0,Entertainment,37,5,1
121,309465525,"Shutterfly: Prints, Photo Books, Cards Made Easy",122315776,0.0,51427,4.0,Photo & Video,37,5,1
122,309527804,StickWars,17010688,0.99,53821,3.5,Games,43,1,1
123,309735670,Indeed Job Search,3691520,0.0,38681,4.0,Business,37,3,28
124,310303959,World Cup Table Tennis™,31387648,0.99,17776,4.0,Games,37,0,11
125,310633997,WhatsApp Messenger,135044096,0.0,287589,4.5,Social Networking,12,0,35
126,310636441,"iStudiez Pro – Homework, Schedule, Grades",55815168,2.99,7308,4.0,Productivity,37,5,30
127,310738695,Zillow Real Estate - Homes for Sale & for Rent,132632576,0.0,342969,4.5,Lifestyle,37,5,1
128,310951782,2XL Supercross,270729216,4.99,6093,4.0,Games,37,5,7
129,311466554,Pocket Tanks Deluxe,39827456,4.99,5452,4.5,Games,38,5,1
130,311548709,Wells Fargo Mobile,57328640,0.0,43064,3.0,Finance,37,0,2
131,311762416,radio.de - Der Radioplayer,40717312,0.0,64,4.5,Music,37,5,14
132,311785642,AutoScout24 - mobile used & new car market,141136896,0.0,220,4.5,Productivity,37,5,13
133,311972587,Sky Burger - Build & Match Food Free,146228224,0.0,114096,4.5,Games,37,5,3
134,312220102,MindNode – Delightful Mind Mapping,52294656,9.99,1296,4.0,Productivity,37,4,13
135,312266675,Packing Pro,16332800,2.99,1293,4.0,Travel,37,5,11
136,312325565,USAA Mobile,164382720,0.0,19946,4.0,Finance,37,5,1
137,312343159,The Moron Test,45712384,0.0,88613,4.0,Entertainment,37,5,1
138,313199385,Sunday Lawn,16086016,0.99,107727,3.5,Games,37,3,1
139,314303518,Peggle Classic,223805440,0.99,21416,4.5,Games,43,0,5
140,314506629,SmartGo Player,22159360,2.99,533,4.0,Games,37,3,9
141,314652382,I Am T-Pain 2.0,20542280,2.99,32650,3.5,Music,43,1,1
142,314716233,TextNow - Unlimited Text + Calls,130637824,0.0,164963,3.5,Social Networking,37,5,3
143,314819528,Boating Weather,8900608,1.99,141,3.0,Weather,40,0,1
144,314855255,Best Buy,180500480,0.0,80424,4.0,Shopping,37,5,2
145,314864297,I Dig It,19853312,0.99,17190,4.0,Games,40,0,1
146,315021242,Unblock Me,42926080,0.99,7973,4.0,Games,40,5,15
147,316025912,Sonic The Hedgehog,36692992,2.99,19621,4.0,Games,37,5,1
148,316227296,10 Pin Shuffle Pro Bowling,36647936,3.99,7315,4.0,Games,37,5,6
149,316391924,Sky News,91697152,0.0,118,3.0,News,37,5,1
150,317469184,"ESPN: Get scores, news, alerts & watch live sports",51538944,0.0,290996,3.5,Sports,37,5,2
151,317809458,LiveATC Air Radio,8302592,3.99,2785,4.0,Travel,37,5,26
152,317904170,The Sims 3,430128128,6.99,54408,3.5,Games,37,5,8
153,318304532,"Chess Pro with Coach - Learn,Play & Online Friends",69960704,9.99,8138,4.0,Games,37,5,13
154,318592730,Guess My Age  Math Magic,767126,0.0,123190,3.0,Education,47,0,1
155,318639200,Crush the Castle,12996628,0.99,23810,3.5,Games,45,0,1
156,319204550,2016 U.S. Open Golf Championship,139545600,0.0,54192,4.0,Sports,37,0,1
157,319284643,"The Championships, Wimbledon 2016 - Tennis Grand Slam",130394112,0.0,20953,4.0,Sports,37,5,1
158,319295332,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,101925888,9.99,71609,4.5,Music,37,4,14
159,319740707,NBC News,52951040,0.0,32881,3.5,News,37,5,1
160,319881193,"Grindr - Gay and same sex guys chat, meet and date",80409600,0.0,23201,2.5,Social Networking,37,5,5
161,320029256,Whole Foods Market,137312256,0.0,17906,3.0,Shopping,37,5,1
162,320279293,NAVIGON Europe,144412672,74.99,927,3.5,Navigation,37,2,21
163,320300350,Virtual Families,27746273,1.99,18920,3.5,Games,47,0,1
164,320596872,Sparkasse+,119648256,0.99,30,3.0,Finance,37,0,3
165,320599923,Sparkasse - Your mobile branch,119574528,0.0,77,3.0,Finance,37,0,3
166,320606217,Sleep Cycle alarm clock,79315968,0.0,104539,4.5,Health & Fitness,37,5,13
167,320636131,FACEinHOLE®,12818432,0.99,4016,4.0,Photo & Video,37,5,1
168,320650307,Harvest - Select the Best Produce,18165760,1.99,299,4.0,Food & Drink,38,0,1
169,321369231,WORMS,253834240,1.99,5758,4.0,Games,40,0,1
170,321756558,Pixel Starships™ : 8Bit MMORPG,69083136,0.0,5565,4.5,Games,37,5,17
171,322423174,Traffic Rush,8573952,0.99,213092,3.5,Games,37,3,1
172,322439990,MyRadar NOAA Weather Radar Forecast,127284224,0.0,150158,4.5,Weather,37,2,8
173,322523436,Resident Evil 4: PLATINUM,81374398,4.99,6046,4.0,Games,47,0,1
174,323229106,"Waze - GPS Navigation, Maps & Real-time Traffic",94139392,0.0,345046,4.5,Navigation,37,5,36
175,323242790,Cartoon Wars,13216994,0.99,35930,3.5,Games,43,0,1
176,323438913,Moto X Mayhem,21010210,0.99,22557,4.0,Games,47,0,1
177,324266640,Fantasy Football Manager - FFM for FPL,35998720,0.99,292,3.0,Sports,37,1,1
178,324684580,Spotify Music,132510720,0.0,878563,4.5,Music,37,5,18
179,324887734,McDo France,37001216,0.0,22,3.5,Food & Drink,37,0,30
180,325462190,PGA Championship 2016 – Baltusrol Golf Club,64147456,0.0,10472,3.5,Sports,37,5,1
181,325658560,BFMTV : l'info en continu,100779008,0.0,115,4.0,News,37,4,1
182,325683306,"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",123718656,1.99,13915,4.5,Weather,37,2,8
183,325954996,Spider:  The Secret of Bryce Manor,126312448,1.99,6780,4.0,Games,38,0,5
184,325962257,My Measures PRO,79882240,7.99,1701,4.0,Productivity,37,5,21
185,326082487,Food Additives Checker (E Numbers),6418432,1.99,6,3.5,Health & Fitness,37,0,8
186,326161564,SFR Mon Compte,74093568,0.0,19,3.0,Utilities,37,5,1
187,326574411,Baby Connect (Activity Log),12937216,4.99,3483,4.5,Medical,37,0,14
188,326876192,Epson iPrint,53388288,0.0,2838,3.0,Photo & Video,37,5,12
189,326885152,Mad Libs,118498304,0.0,117889,3.0,Entertainment,38,1,1
190,326979430,BATTLE BEARS: Zombies!,103197675,0.99,50710,3.5,Games,45,0,1
191,327193945,Hurricane Tracker,24574976,2.99,3960,4.5,Weather,37,0,1
192,327243363,NFL Sunday Ticket,96093184,0.0,24258,3.0,Entertainment,37,0,1
193,327455869,2016 US Open Tennis Championships,77700096,0.0,37522,4.0,Sports,37,4,1
194,327630330,Dropbox,180804608,0.0,49578,3.5,Productivity,37,5,20
195,328011357,Wa Kingyo - Goldfish Pond,56397824,0.99,626,4.0,Entertainment,38,5,2
196,328205875,Monkey Preschool Lunchbox,229272576,1.99,9286,4.0,Games,38,5,1
197,328415391,Yahoo Fantasy Sports,131000320,0.0,190670,3.5,Sports,37,3,45
198,329127297,Gaia GPS Classic,53097472,19.99,2429,4.5,Navigation,37,5,16
199,329174056,iLoan Calc (Loan calculator),3375104,3.99,0,0.0,Finance,37,5,3
200,329541503,Geocaching®,108166144,0.0,12811,3.5,Navigation,37,0,22
201,329670577,Camera+,89187328,1.99,32338,4.0,Photo & Video,37,0,10
202,329703516,Alter Ego,13647872,4.99,262,4.0,Games,40,5,1
203,329887910,Parking Mania,123544576,0.99,9657,4.5,Games,38,0,12
204,329981776,Sudoku⁺,1608704,2.99,18332,4.5,Games,37,5,2
205,330376830,Period Tracker Lite,50169856,0.0,53620,4.0,Health & Fitness,38,0,15
206,330803072,Camera Plus: For Macro Photos & Remote Photography,101181440,0.99,38533,2.5,Photo & Video,37,4,11
207,331004675,The perfect Egg timer,15329280,0.99,40,3.5,Food & Drink,37,4,7
208,331177703,Letter Quiz - alphabet tracing for kids,31845376,1.99,472,4.0,Games,37,5,1
209,331177714,Starbucks,135032832,0.0,303856,4.5,Food & Drink,37,0,2
210,331259725,央视影音-海量央视内容高清直播,54648832,0.0,2070,2.5,Sports,37,0,1
211,331271904,Bloons TD,8432232,2.99,7941,4.0,Games,47,0,1
212,331308914,Weight Watchers,230720512,0.0,136833,3.5,Health & Fitness,37,5,6
213,331786748,"CNN: Breaking US & World News, Live Video",80211968,0.0,112886,3.5,News,37,1,1
214,331804452,Gilt,148201472,0.0,26353,3.5,Shopping,37,5,2
215,332568551,TRUTH or DARE!!! - FREE,20795392,0.0,171055,3.0,Entertainment,38,1,1
216,333180061,Canabalt,27934720,2.99,4540,4.0,Games,43,5,15
217,333206289,Alipay - Makes Life Easy,208309248,0.0,1926,3.0,Lifestyle,38,5,3
218,333246187,Scanner911 Pro,33812480,3.99,14345,4.0,News,37,0,1
219,333263435,Daily Teachings,20298752,4.99,1340,4.5,Lifestyle,38,0,1
220,333710667,Scanner Pro - PDF document scanner app with OCR,101346304,3.99,31912,4.5,Business,37,5,9
221,333903271,Twitter,210569216,0.0,354058,3.5,News,37,2,33
222,334235181,"Trainline UK: Live Train Times, Tickets & Planner",110198784,0.0,248,4.0,Travel,37,4,1
223,334256223,CBS News - Watch Free Live Breaking News,78047232,0.0,11691,3.5,News,37,5,1
224,334264405,iOvilus,9946112,1.99,381,3.0,Entertainment,38,0,1
225,334503000,The Impossible Quiz!,44652544,0.0,18884,4.0,Entertainment,37,0,1
226,334989259,WolframAlpha,30369792,2.99,7410,4.0,Reference,37,5,1
227,335029050,Catan,376171520,1.99,15175,4.0,Games,38,0,6
228,335047649,ScanBizCards Business Card Reader,96815104,0.99,3166,4.0,Business,37,5,5
229,335364882,"Walgreens – Pharmacy, Photo, Coupons and Shopping",169138176,0.0,88885,4.5,Shopping,37,5,1
230,335545504,King of Dragon Pass,364490752,9.99,882,5.0,Games,43,5,1
231,335709058,Stylebook,44135424,3.99,1729,4.0,Lifestyle,37,5,3
232,335744614,NBA,112074752,0.0,43682,3.5,Sports,37,5,1
233,335862325,Blower,98942976,0.99,861,2.0,Entertainment,40,4,1
234,335875911,My Cycles Period and Ovulation Tracker,77686784,0.0,7469,3.5,Health & Fitness,37,0,2
235,335989871,"Kmart – Download Now, Shop Online & Pick Up Today!",94496768,0.0,4186,3.5,Shopping,37,0,1
236,336141475,优酷视频,204959744,0.0,4885,3.5,Entertainment,38,0,2
237,336347946,DOOM Classic,32796672,4.99,3970,4.0,Games,40,3,5
238,336353151,SoundCloud - Music & Audio,105009152,0.0,135744,4.0,Music,37,4,7
239,336435697,imo video calls and chat,22562816,0.0,18841,4.0,Social Networking,38,2,29
240,336477530,Plane Finder - Flight Tracker,52632576,3.99,1438,4.0,Navigation,37,3,10
241,336599882,"Runtastic Running, Jogging and Walking Tracker",151388160,0.0,10298,4.5,Health & Fitness,37,0,15
242,336683524,iFiles,47323136,0.99,1842,3.5,Productivity,38,1,1
243,336689375,TeachMe: Kindergarten,59846656,1.99,2548,4.0,Education,37,5,1
244,336834650,Moorhuhn Deluxe - Crazy Chicken,27807744,0.99,319,3.0,Games,38,5,5
245,336860594,Victoria’s Secret – The Sexiest Bras & Lingerie,60976128,0.0,34507,3.5,Shopping,37,0,1
246,337021781,MONOPOLY Game,194386944,0.99,26482,3.5,Games,37,0,6
247,337056601,n-tv Nachrichten,49470464,0.0,273,3.0,News,37,5,1
248,337288863,Shazam Encore,147118080,2.99,8331,4.0,Music,37,3,15
249,337402021,Harry Potter: Spells,125411328,0.99,17023,4.0,Games,40,0,1
250,337462979,First Words Deluxe,63316992,4.99,1101,4.0,Games,38,5,1
251,337571576,Clay Hunt,15313920,0.99,1193,4.0,Games,40,5,1
252,337710261,Dream Team - be your own fantasy football manager,69816320,0.0,35,2.5,Sports,37,3,1
253,337866370,Jet Car Stunts,32848910,1.99,4088,4.0,Games,47,4,1
254,338057689,Call of Duty: Zombies,52821364,4.99,63943,4.0,Games,47,0,1
255,338137227,"Walmart: Free 2-Day Shipping,* Easy Store Shopping",146507776,0.0,70286,3.0,Shopping,37,0,1
256,338761996,AirWatch Agent,24747008,0.0,1150,2.5,Business,37,5,19
257,338828953,Shop Savvy Barcode Scanner - Price Compare & Deals,89517056,0.0,54630,2.5,Shopping,37,4,1
258,339440515,Voice Changer Plus,40722432,0.0,98777,3.0,Entertainment,37,2,12
259,339462921,CatPaint,73332736,0.99,649,4.0,Photo & Video,37,5,1
260,339532909,Redbox,83906560,0.0,60236,3.0,Entertainment,37,0,1
261,340368403,クックパッド - No.1料理レシピ検索アプリ,76644352,0.0,115,3.5,Food & Drink,37,5,1
262,340769953,Trenches,37340259,0.99,26732,4.0,Games,43,0,1
263,340779800,The Christmas List,26137600,1.99,2722,4.5,Shopping,37,0,1
264,341036067,Macy's,107816960,0.0,11013,3.5,Shopping,37,0,1
265,341232718,Calorie Counter & Diet Tracker by MyFitnessPal,152700928,0.0,507706,4.5,Health & Fitness,37,5,19
266,341329033,BlaBlaCar - Trusted Carpooling,112024576,0.0,397,4.5,Travel,37,0,16
267,341691394,Refills Calendar - Scheduler - Note,35864576,9.99,196,4.0,Productivity,38,5,2
268,341776037,5-0 Radio Pro Police Scanner (Extra Feeds),49594368,3.99,24553,4.0,News,38,5,26
269,342115564,Hipstamatic,114081792,2.99,12557,3.5,Photo & Video,37,5,15
270,342138881,Sing Karaoke Songs Unlimited with StarMaker,91267072,0.0,26227,4.0,Music,37,4,14
271,342548956,TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF,8821760,4.99,28388,5.0,Business,38,5,9
272,342602105,Positivity with Andrew Johnson,69513216,2.99,282,4.0,Health & Fitness,38,4,1
273,342699962,Rat On A Scooter XL,7767040,0.99,19296,4.0,Games,37,3,1
274,342792525,IMDb Movies & TV - Trailers and Showtimes,88702976,0.0,183425,4.5,Entertainment,37,5,10
275,343200656,Angry Birds,175966208,0.0,824451,4.5,Games,38,0,10
276,343555245,DB Navigator,84791296,0.0,512,3.5,Travel,38,0,2
277,343638336,Video Calls with Santa,27997184,2.99,315,3.5,Lifestyle,37,0,31
278,343889987,Voyages-sncf.com : book train and bus tickets,131463168,0.0,268,3.5,Travel,37,5,6
279,344065205,The Font Game,5415000,1.99,438,4.5,Games,45,0,1
280,344176018,ImmobilienScout24: Real Estate Search in Germany,126867456,0.0,187,3.5,Navigation,37,5,3
281,344186162,Grand Theft Auto: Chinatown Wars,878883840,4.99,15142,4.0,Games,38,5,6
282,344542975,Southwest Airlines,88773632,0.0,30552,3.0,Travel,37,0,1
283,345445479,The Sims 3 World Adventures,812758016,2.99,9744,3.5,Games,37,4,6
284,345542655,Star Chart,28616704,0.0,13482,4.5,Education,38,5,8
285,346184215,TaxCaster – Free tax refund calculator,7111680,0.0,17516,3.5,Finance,37,5,1
286,346453382,Glow Hockey 2 FREE,34056767,0.0,186653,3.5,Games,43,0,1
287,346513173,"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog & animal fx",21450752,0.99,10031,4.0,Entertainment,43,0,1
288,346997126,TV SPIELFILM - TV Programm mit Live TV,97879040,0.0,81,3.0,Entertainment,37,5,1
289,347310316,All-in-1 Logic GameBox,22299021,0.99,9854,4.0,Games,47,0,1
290,347393479,Roadside America,10231808,2.99,1093,4.0,Travel,38,0,1
291,347400507,Pocket Yoga,132480000,2.99,4475,4.5,Health & Fitness,37,5,2
292,347411942,Sonic the Hedgehog 2,47182848,2.99,9405,4.0,Games,37,5,1
293,347418999,Simply Being - Guided Meditation for Relaxation and Presence,100048896,1.99,2417,4.5,Health & Fitness,38,2,1
294,347803339,CamCard - Business card scanner & reader,174839808,0.99,2923,4.5,Business,37,0,7
295,348530331,This American Life,13725696,2.99,8657,3.5,Entertainment,38,4,1
296,348543978,Timetracks - Slit-Scan Camera,11369472,0.99,70,2.0,Photo & Video,37,4,5
297,348684697,franceinfo - l'actualité & les élections en direct,155857920,0.0,162,4.0,News,37,5,2
298,349079731,DOUBUTSU URANAI®-Animal Fortune-,38718464,0.99,5,4.0,Lifestyle,40,0,2
299,349276209,Doodle Army,17879270,0.99,12354,4.0,Games,47,0,1
300,349442137,Ameba,96635904,0.0,269,3.0,Social Networking,37,0,1
301,350480010,eBook: War and Peace,8039424,3.99,0,0.0,Book,37,5,1
302,350642635,Plants vs. Zombies,105379840,0.99,426463,5.0,Games,38,0,5
303,350962117,Weibo,199585792,0.0,7265,3.5,Social Networking,37,5,2
304,351091731,大众点评-发现品质生活,244516864,0.0,844,4.0,Lifestyle,37,5,2
305,351184863,AlloCiné : Cinéma et Séries,123450368,0.0,101,4.0,Entertainment,37,5,1
306,351331194,"Badoo - Meet New People, Chat, Socialize.",157625344,0.0,34428,4.5,Social Networking,37,4,30
307,351707231,Flick Kick Field Goal,75612160,1.99,36946,4.5,Games,38,5,3
308,351727428,Venmo,68153344,0.0,21090,4.5,Finance,37,4,1
309,351939099,"Dungeons & Such Treasures,Collectibles and Dragons",84469760,2.99,653,4.5,Games,37,1,31
310,351986992,"StarMap 3D+: Night Sky, Astronomy, Star View Guide",100368384,3.99,1118,4.5,Education,37,5,29
